"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-69.2465","119.6895","0.00000","0.0000","921.599801","0.000000000","0.00814","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-17.6805","71.8782","-0.27096","54.1916","921.599801","0.000000000","0.00947","0.19991","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","58.1631","-5.5658","2.01891","73.1664","921.599801","0.000000000","0.00490","0.19998","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","69.0193","-18.9747","5.20035","88.3426","921.599801","0.000000000","0.00260","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","195.0751","22.8979","9.46882","105.3762","921.599801","0.000000000","0.00513","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","199.1459","11.9034","14.30090","118.7425","921.599801","0.000000000","0.01792","0.20017","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","158.6528","-18.6893","19.26324","127.7752","921.599801","0.000000000","0.00964","0.20027","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","135.1279","-18.6712","24.51108","135.4216","921.599801","0.000000000","0.00703","0.20036","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","154.4370","-18.0683","30.12276","142.6264","921.599801","0.000000000","0.00750","0.20044","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","253.7448","1.5141","36.32160","150.4633","921.599801","0.000000000","0.01158","0.20052","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","249.3617","-10.4046","42.85914","157.8220","921.599801","0.000000000","0.02153","0.20062","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","208.7079","-37.5673","49.44258","163.8836","921.599801","0.000000000","0.01576","0.20072","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","172.3084","-34.9581","56.03625","168.8900","921.599801","0.000000000","0.00958","0.20080","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","141.2371","-33.2688","60.17396","172.6518","921.599801","0.000000000","0.00159","0.20085","1.77500","0"
