"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-111.0750","187.5577","0.00000","0.0000","921.599801","0.000000000","0.01066","0.19989","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-49.2827","145.1372","-0.47912","95.8242","921.599801","0.000000000","0.01701","0.19988","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","86.1622","-5.5578","2.41488","97.8586","921.599801","0.000000000","0.00104","0.19997","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","106.9169","-26.2755","7.14252","125.4260","921.599801","0.000000000","0.00195","0.20003","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","266.2929","30.7012","13.03460","147.8397","921.599801","0.000000000","0.00567","0.20008","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","285.8067","19.6998","20.00067","168.0868","921.599801","0.000000000","0.02038","0.20017","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","234.6582","-19.6653","27.23894","182.2524","921.599801","0.000000000","0.00877","0.20030","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","200.8564","-14.7917","34.81777","193.6645","921.599801","0.000000000","0.00609","0.20040","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","224.1796","-14.9910","42.84139","203.9607","921.599801","0.000000000","0.00769","0.20051","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","361.0534","20.7585","51.77777","215.4610","921.599801","0.000000000","0.01305","0.20062","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","355.0186","0.4870","61.25949","226.4351","921.599801","0.000000000","0.02930","0.20076","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","298.8482","-38.9274","70.66053","234.9859","921.599801","0.000000000","0.01249","0.20091","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","260.7639","-27.0827","80.14450","242.2527","921.599801","0.000000000","0.00810","0.20104","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","203.8200","-27.4537","86.02635","247.4972","921.599801","0.000000000","0.00177","0.20114","1.77500","0"
