"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-85.7190","139.7843","0.00000","0.0000","921.599801","0.000000000","0.01166","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-27.6844","90.9285","-0.34583","69.1664","921.599801","0.000000000","0.01193","0.19993","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","63.0998","-9.4195","2.34082","86.9684","921.599801","0.000000000","0.00974","0.20001","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","101.0357","-11.0161","6.26331","107.1752","921.599801","0.000000000","0.00355","0.20007","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","241.2612","32.5703","11.71439","130.7102","921.599801","0.000000000","0.00444","0.20014","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","258.5897","20.2700","17.96183","149.3193","921.599801","0.000000000","0.02985","0.20024","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","208.7797","-18.9654","24.34146","161.5777","921.599801","0.000000000","0.01846","0.20036","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","169.8659","-15.9340","30.94632","171.0778","921.599801","0.000000000","0.01092","0.20048","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","196.2688","-15.0162","38.01802","180.0981","921.599801","0.000000000","0.00834","0.20059","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","327.0085","14.8275","45.92801","190.3310","921.599801","0.000000000","0.01231","0.20069","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","331.5199","5.0299","54.39800","200.3675","921.599801","0.000000000","0.03118","0.20083","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","269.5046","-34.2267","62.88043","208.4705","921.599801","0.000000000","0.02294","0.20097","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","221.5442","-22.6504","71.31613","214.9827","921.599801","0.000000000","0.01263","0.20109","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","189.5380","-14.7836","76.59241","219.7976","921.599801","0.000000000","0.00266","0.20117","1.77500","0"
