"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","0.2190","2.0284","0.00000","0.0000","921.600000","0.000000000","0.00093","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-30.5277","46.4420","0.00000","0.0000","921.600000","0.000000000","0.00254","0.20000","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","3.9823","24.2914","0.00878","19.6882","921.600000","0.000000000","0.01691","0.19996","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","127.4581","-6.5559","2.75173","81.1824","921.600000","0.000000000","0.01415","0.20000","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","172.2357","-12.6973","6.18699","96.5638","921.600000","0.000000000","0.00194","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","185.5187","-23.2256","10.07594","107.0062","921.600000","0.000000000","0.00354","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","200.3249","-32.8922","14.51610","116.8460","921.600000","0.000000000","0.00559","0.20015","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","205.4036","-45.5284","19.35679","125.4609","921.600000","0.000000000","0.00806","0.20022","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","205.8021","-49.5437","24.51825","133.0157","921.600000","0.000000000","0.00763","0.20028","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","203.8432","-47.2015","30.01100","140.0030","921.600000","0.000000000","0.00793","0.20035","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","220.4102","-53.5717","35.75948","146.3230","921.600000","0.000000000","0.02544","0.20041","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","209.5418","-50.9397","41.65226","151.7888","921.600000","0.000000000","0.00925","0.20048","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","214.1902","-48.9982","47.72596","156.7725","921.600000","0.000000000","0.01216","0.20054","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","225.8541","-40.3844","53.95507","161.3275","921.600000","0.000000000","0.01397","0.20061","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","44.0407","-24.2190","57.49100","163.7365","921.600000","0.000000000","0.00350","0.20063","1.77500","0"
