"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","90.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","90.0","0.100","0.000","-74.8948","84.9080","0.00000","0.0000","921.599801","0.000000000","0.01755","0.19995","1.77500","0"
"Blade","1.100","90.0","0.100","0.050","112.1667","26.7611","-0.19922","114.6227","921.599801","0.000000000","0.03171","0.19994","1.77500","0"
"Blade","1.700","90.0","0.100","0.050","215.1835","46.0062","3.12238","111.4272","921.599801","0.000000000","0.00539","0.19995","1.77500","0"
"Blade","2.300","90.0","0.100","0.050","294.3775","79.5046","7.38003","125.6098","921.599801","0.000000000","0.01054","0.19996","1.77500","0"
"Blade","2.900","90.0","0.100","0.050","0.7517","-5.6268","10.99269","124.0392","921.599801","0.000000000","0.04124","0.19999","1.77500","0"
"Blade","3.500","90.0","0.100","0.050","20.8021","1.4043","14.89981","125.5267","921.599801","0.000000000","0.00396","0.20001","1.77500","0"
"Blade","4.100","90.0","0.100","0.050","182.4328","25.7361","19.50051","130.9131","921.599801","0.000000000","0.04320","0.20002","1.77500","0"
"Blade","4.700","90.0","0.100","0.050","382.6876","95.1293","25.59974","142.6528","921.599801","0.000000000","0.03334","0.20002","1.77500","0"
"Blade","5.300","90.0","0.100","0.050","425.4458","125.5309","32.54941","155.0718","921.599801","0.000000000","0.02284","0.20004","1.77500","0"
"Blade","5.900","90.0","0.100","0.050","34.0336","-15.2236","38.18290","159.0773","921.599801","0.000000000","0.04825","0.20008","1.77500","0"
"Blade","6.500","90.0","0.100","0.050","52.5897","-0.6144","43.85035","162.3323","921.599801","0.000000000","0.00758","0.20010","1.77500","0"
"Blade","7.100","90.0","0.100","0.050","237.1217","24.8903","50.21102","167.2198","921.599801","0.000000000","0.08358","0.20009","1.77500","0"
"Blade","7.700","90.0","0.100","0.050","468.9050","102.7099","58.13856","175.9092","921.599801","0.000000000","0.05560","0.20007","1.77500","0"
"Blade","8.200","90.0","0.100","0.000","-39.7923","-27.3894","61.53507","177.2306","921.599801","0.000000000","0.01110","0.20007","1.77500","0"
