"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Idle","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Idle","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
