"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.085","-0.183","0.799","0.085","-0.183","0.799","-1"
"0.235","0.015","3.113","0.235","0.015","3.113","-1"
"-0.068","-0.972","2.256","-0.068","-0.972","2.256","-1"
"0.738","-11.094","164.007","0.738","-11.094","164.007","-1"
"-9.338","-45.402","171.419","-9.338","-45.402","171.419","-1"
"-60.865","-95.216","1165.867","-60.865","-95.216","1165.867","-1"
"-222.627","-81.250","1600.871","-222.627","-81.250","1600.871","-1"
"-9.376","9.523","1840.313","-9.376","9.523","1840.313","-1"
"12.081","-25.086","1938.049","12.081","-25.086","1938.049","-1"
"-1.227","-3.382","1965.185","-1.227","-3.382","1965.185","-1"
"16.401","1.475","2011.130","16.401","1.475","2011.130","-1"
"14.865","-4.644","2124.263","14.865","-4.644","2124.263","-1"
"-14.279","3.355","1960.075","-14.279","3.355","1960.075","-1"
"5.551","0.926","1982.246","5.551","0.926","1982.246","-1"
"-7.371","-2.245","1957.784","-7.371","-2.245","1957.784","-1"
"-19.774","34.329","1968.408","-19.774","34.329","1968.408","-1"
"-54.710","31.413","1985.003","-54.710","31.413","1985.003","-1"
"-32.602","-0.021","1995.419","-32.602","-0.021","1995.419","-1"
"-27.363","-35.995","1985.487","-27.363","-35.995","1985.487","-1"
"-0.329","0.034","1953.817","-0.329","0.034","1953.817","-1"
"24.699","46.056","1879.864","24.699","46.056","1879.864","-1"
"98.890","2.106","2661.732","98.890","2.106","2661.732","-1"
"-357.586","113.299","785.943","-357.586","113.299","785.943","-1"
"-155.763","24.737","216.766","-155.763","24.737","216.766","-1"
"-165.374","22.851","-101.822","-165.374","22.851","-101.822","-1"
"-139.075","12.607","-507.871","-139.075","12.607","-507.871","-1"
"-95.709","34.697","-647.498","-95.709","34.697","-647.498","-1"
"-149.398","22.058","-507.847","-149.398","22.058","-507.847","-1"
