"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","997.364","0.0000"
"1.200","1.217","1.000","0.000","1176.064","0.0000"
"2.300","2.317","1.000","0.000","1175.999","0.0000"
"3.400","3.417","1.000","0.000","1176.004","0.0000"
"4.400","4.417","1.000","0.000","1175.999","0.0000"
"5.400","5.417","1.000","0.000","1175.927","0.0000"
"6.400","6.417","1.000","0.000","1175.253","0.0000"
"7.400","7.417","1.000","0.000","1174.382","0.0000"
"8.400","8.417","1.000","0.000","1174.144","0.0000"
"9.500","9.517","1.000","0.000","1174.088","0.0300"
"10.600","10.617","1.000","0.000","1173.021","0.0300"
"11.700","11.717","1.000","0.000","1089.885","0.0300"
"12.800","12.817","1.000","0.000","1136.922","0.0300"
"13.900","13.917","1.000","0.000","1089.198","0.0300"
"15.000","15.017","1.000","0.000","573.158","0.0300"
"16.100","16.117","1.000","0.000","433.860","0.0300"
"17.200","17.217","1.000","0.000","541.659","0.0277"
"18.300","18.317","0.000","0.000","45.204","0.0000"
"19.400","19.417","0.000","5.697","1.750","0.0026"
"20.500","20.517","0.302","10.130","0.000","0.0071"
"21.600","21.617","1.000","14.212","1.023","0.0300"
"22.700","22.717","0.000","4.695","0.000","0.0000"
"23.800","23.817","1.000","10.464","0.000","0.0300"
"24.900","24.917","0.494","7.723","0.000","0.0118"
"26.000","26.017","0.791","14.937","0.000","0.0237"
"27.100","27.117","0.000","57.287","0.000","0.0000"
"28.200","28.217","0.000","0.396","0.000","0.0000"
"29.300","29.317","0.000","0.034","0.000","0.0000"
"30.400","30.417","1.000","0.376","0.080","0.0300"
"31.500","31.517","1.000","5.618","0.000","0.0300"
"32.600","32.617","1.000","30.721","0.000","0.0300"
"33.700","33.717","1.000","9.080","0.000","0.0300"
"34.800","34.817","1.000","11.890","0.000","0.0300"
"35.900","35.917","0.000","56.299","0.000","0.0000"
"37.000","37.017","0.000","14.773","0.000","0.0000"
"38.100","38.117","0.000","69.791","0.000","0.0000"
"39.200","39.217","0.000","107.409","42.710","0.0000"
"40.300","40.317","0.770","36.987","2.978","0.0258"
"41.400","41.417","0.309","8.116","8.078","0.0064"
"42.500","42.517","1.000","18.482","117.441","0.0255"
"43.600","43.617","0.507","5.758","0.013","0.0201"
"44.699","44.717","0.689","7.741","0.000","0.0262"
"45.799","45.817","1.000","9.243","0.000","0.0300"
"46.899","46.917","0.413","11.063","0.000","0.0141"
"47.999","48.017","0.000","26.566","73.658","0.0000"
"49.099","49.117","0.000","2.763","96.544","0.0000"
"50.199","50.217","1.000","10.126","714.934","0.0000"
"51.299","51.317","1.000","23.873","559.763","0.0000"
"52.399","52.417","1.000","23.766","663.611","0.0000"
"53.499","53.517","1.000","0.607","699.295","0.0000"
"54.599","54.617","1.000","12.971","763.325","0.0000"
"55.699","55.717","1.000","9.743","873.544","0.0000"
"56.799","56.817","1.000","35.637","924.018","0.0000"
"57.899","57.917","1.000","15.927","970.543","0.0000"
"58.999","59.017","1.000","11.026","958.917","0.0000"
"60.099","60.117","1.000","8.822","915.458","0.0000"
