"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.2769","0.0212","0.0000","0.0000","1.5588","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0207","0.0504","0.0075","0.0075","1.5301","24.24","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0221","0.0590","0.0315","0.0315","1.5302","21.83","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0223","0.0728","0.0558","0.0558","1.5333","19.18","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0684","0.0963","0.0801","0.0801","1.5266","18.27","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0222","0.1100","0.1044","0.1044","1.5456","15.52","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0292","0.1316","0.1287","0.1287","1.5526","12.77","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0503","0.1542","0.1530","0.1530","1.5611","10.02","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0198","0.1690","0.1659","0.1655","1.5478","9.54","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.0470","0.1834","0.1828","0.1823","1.5645","6.79","0"
"Helix","19.40","-10.00","5.852","6.802","-1.141","0.0214","0.1940","0.1940","0.1932","1.5801","4.91","0"
"Helix","20.50","-10.00","10.583","16.961","21.640","0.0474","0.2227","0.2221","0.2213","1.5972","2.16","0"
"Helix","21.60","-10.00","14.516","11.808","0.547","0.0301","0.2494","0.2487","0.2479","1.5987","1.57","0"
"Helix","22.70","-10.00","4.791","3.936","-4.023","0.0464","0.2608","0.2605","0.2597","1.5923","1.75","0"
"Helix","23.80","-10.00","10.798","9.628","-3.263","0.0290","0.2871","0.2848","0.2841","1.6160","-0.89","0"
"Helix","24.90","-10.00","8.020","7.293","-3.024","0.0245","0.2985","0.2926","0.2918","1.6388","-3.64","0"
"Helix","26.00","-10.00","14.617","15.895","9.631","0.0263","0.3242","0.3133","0.3127","1.6634","-6.39","0"
"Helix","27.10","-10.00","60.330","52.046","-24.224","0.0354","0.3287","0.3155","0.3147","1.6725","-6.65","0"
"Helix","28.20","-10.00","0.402","0.359","0.010","0.0421","0.3109","0.3077","0.3067","1.6244","-2.25","0"
