"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","1.800000","1.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","7.200000","7.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","10.200000","10.400000","1.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","17.200000","17.400000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","14.400000","20.200000","6.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","13.400000","21.200000","8.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","13.200000","23.200000","9.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","10.600000","23.600000","10.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","9.000000","23.600000","10.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","6.400000","23.600000","10.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"29.30","6.400000","23.600000","10.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"30.40","6.200000","23.600000","10.600000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0"
"31.50","10.000000","23.800000","10.800000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"32.60","14.800000","24.200000","12.200000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"33.70","15.000000","24.400000","12.600000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"34.80","16.200000","24.800000","13.600000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"35.90","19.000000","26.200000","14.600000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"37.00","24.600000","29.600000","15.200000","0.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"38.10","21.800000","30.400000","15.400000","0.000000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"39.20","21.400000","30.800000","16.600000","0.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"40.30","19.800000","31.000000","16.800000","0.600000","1.200000","0.000000","0.000000","0.000000","0.000000","0"
"41.40","19.800000","31.600000","17.000000","0.600000","1.600000","0.000000","0.000000","0.000000","0.000000","0"
"42.50","25.400000","32.800000","17.400000","0.800000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"43.60","26.000000","33.800001","17.400000","0.600000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"44.70","27.200000","35.600001","18.000000","0.800000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"45.80","29.400000","37.800001","18.400000","0.600000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"46.90","31.400000","40.600001","19.000000","0.600000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"48.00","31.800000","41.600001","20.000000","0.600000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"49.10","26.800000","42.800001","21.000000","0.600000","1.800000","0.000000","0.000000","0.000000","0.000000","0"
"50.20","29.800000","45.000001","22.600000","1.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0"
"51.30","30.800000","45.800001","23.000000","0.800000","2.400000","0.000000","0.000000","0.000000","0.000000","0"
"52.40","30.600000","47.200001","24.000000","0.800000","2.400000","0.000000","0.000000","0.000000","0.000000","0"
"53.50","29.800000","47.600001","24.400000","0.800000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"54.60","30.200000","48.200001","25.400000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"55.70","30.800000","49.000001","25.800000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"56.80","31.400000","49.800001","26.400000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"57.90","30.800000","50.400001","27.600000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"59.00","30.800000","51.200001","28.400000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"60.10","29.600000","51.600001","28.600000","1.000000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
