"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.000","0.00","0.00","60000.000894","0.000000000","7740.000115","0.000000","0","0","0.000000","0.000","-1"
"1.20","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7820.000117","0.000000","0","0","0.000000","0.000","-1"
"2.30","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"3.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"5.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"6.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"7.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"8.40","45.00","0.000","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"9.50","45.00","0.000","0.00","0.00","60000.000894","0.000000000","8000.000119","0.000000","0","0","0.000000","0.000","-1"
"10.60","45.00","0.000","0.00","0.00","60000.000894","0.000000000","8340.000124","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.000","0.00","0.00","60000.000894","0.000000000","8700.000130","0.000000","0","0","0.000000","0.000","-1"
"12.80","45.00","0.000","-0.00","0.00","60000.000894","0.000000000","9259.000138","0.000000","0","0","0.000000","0.000","-1"
"13.90","45.00","-0.000","0.03","0.00","60000.000894","0.000000000","9747.000145","0.000000","0","0","0.000000","0.000","-1"
"15.00","45.00","-0.000","10.17","0.00","60000.000894","0.000000000","10249.200153","0.000000","0","0","0.000000","0.000","-1"
"16.10","45.00","-0.000","9.98","0.00","60000.000894","0.000000000","10805.800161","0.000000","0","0","0.000000","0.051","45"
"17.20","45.00","-0.000","0.25","0.00","60000.000894","0.000000000","10663.600159","0.000000","0","0","0.000000","0.000","-1"
"18.30","45.00","-0.000","6.91","0.00","60000.000894","0.000000000","10407.400155","0.000000","0","0","0.000000","0.038","45"
"19.40","44.94","0.000","-71.86","1.21","60000.000894","0.000000000","10540.400157","0.000000","0","0","0.000000","0.000","-1"
"20.50","44.83","-0.000","32.78","4.01","60000.000894","0.000000000","10863.800162","0.000000","0","0","0.000000","0.000","-1"
"21.60","44.91","0.000","-56.13","2.35","60000.000894","0.000000000","10891.600162","0.000000","0","0","0.000000","0.000","-1"
"22.70","44.91","-0.000","6.57","0.92","60000.000894","0.000000000","11364.200169","0.000000","0","0","0.000000","0.000","-1"
"23.80","44.84","0.000","-3.07","1.92","60000.000894","0.000000000","12064.000180","0.000000","0","0","0.000000","0.002","46"
"24.90","44.91","0.000","-5.59","1.49","60000.000894","0.000000000","12352.000184","0.000000","0","0","0.000000","0.000","-1"
"26.00","44.79","0.000","-12.29","3.90","60000.000894","0.000000000","12805.000191","0.000000","0","0","0.000000","0.000","-1"
"27.10","44.40","0.000","-53.03","10.71","60000.000894","0.000000000","13145.200196","0.000000","0","0","0.000000","0.280","28"
"28.20","45.00","0.000","-7.31","0.08","60000.000894","0.000000000","13334.000199","0.000000","0","0","0.000000","0.000","-1"
"29.30","44.99","-0.000","21.47","0.02","60000.000894","0.000000000","13258.400198","0.000000","0","0","0.000000","0.001","41"
"30.40","44.98","-0.000","34.31","0.22","60000.000894","0.000000000","12774.400190","0.000000","0","0","0.000000","0.000","-1"
"31.50","44.93","0.000","-45.58","0.94","60000.000894","0.000000000","12572.400187","0.000000","0","0","0.000000","0.000","45"
"32.60","44.57","0.000","-23.45","6.32","60000.000894","0.000000000","12679.000189","0.000000","0","0","0.000000","0.238","29"
"33.70","44.65","-0.000","46.90","5.53","60000.000894","0.000000000","12677.000189","0.000000","0","0","0.000000","0.005","45"
"34.80","44.75","-0.000","60.30","3.63","60000.000894","0.000000000","12543.400187","0.000000","0","0","0.000000","0.000","-1"
"35.90","44.13","-0.000","56.50","17.78","60000.000894","0.000000000","12403.000185","0.000000","0","0","0.000000","0.201","17"
"37.00","44.62","0.000","-4.92","3.44","60000.000894","0.000000000","12254.200183","0.000000","0","0","0.000000","0.005","45"
"38.10","43.64","-0.000","20.97","22.28","60000.000894","0.000000000","12606.200188","0.000000","0","0","0.000000","0.000","-1"
"39.20","43.65","-0.000","68.02","31.31","60000.000894","0.000000000","12567.200187","0.000000","0","0","0.000000","0.019","46"
"40.30","44.55","-0.000","92.01","9.14","60000.000894","0.000000000","12674.600189","0.000000","0","0","0.000000","0.000","-1"
"41.40","44.93","-0.000","74.26","1.93","60000.000894","0.000000000","12644.200188","0.000000","0","0","0.000000","0.197","22"
"42.50","44.67","0.000","-54.46","3.69","60000.000894","0.000000000","12306.200183","0.000000","0","0","0.000000","0.000","-1"
"43.60","44.70","0.000","-49.30","1.12","60000.000894","0.000000000","12268.000183","0.000000","0","0","0.000000","0.000","-1"
"44.70","44.56","0.000","-122.00","12.03","60000.000894","0.000000000","12349.400184","0.000000","0","0","0.000000","0.000","-1"
"45.80","44.95","0.000","-98.07","1.69","60000.000894","0.000000000","12373.400184","0.000000","0","0","0.000000","0.000","-1"
"46.90","44.81","0.000","-15.03","2.65","60000.000894","0.000000000","12584.400188","0.000000","0","0","0.000000","0.000","-1"
"48.00","44.63","-0.000","4.92","6.47","60000.000894","0.000000000","12991.800194","0.000000","0","0","0.000000","0.040","45"
"49.10","44.85","0.000","-89.97","4.46","60000.000894","0.000000000","13100.600195","0.000000","0","0","0.000000","0.000","-1"
"50.20","44.50","0.000","-140.50","5.01","60000.000894","0.000000000","13058.400195","0.000000","0","0","0.000000","0.000","-1"
"51.30","44.72","0.000","-38.79","6.39","60000.000894","0.000000000","13068.200195","0.000000","0","0","0.000000","0.000","-1"
"52.40","44.80","0.000","-23.71","4.74","60000.000894","0.000000000","13056.400195","0.000000","0","0","0.000000","0.187","24"
"53.50","44.91","0.000","-13.90","0.19","60000.000894","0.000000000","13056.200195","0.000000","0","0","0.000000","0.000","-1"
"54.60","44.89","0.000","-31.82","2.43","60000.000894","0.000000000","13056.400195","0.000000","0","0","0.000000","0.053","45"
"55.70","44.65","0.000","-30.98","8.50","60000.000894","0.000000000","13056.600195","0.000000","0","0","0.000000","0.033","2"
"56.80","44.52","0.000","-58.22","13.51","60000.000894","0.000000000","13056.600195","0.000000","0","0","0.000000","0.055","45"
"57.90","44.81","0.000","-71.60","2.99","60000.000894","0.000000000","13056.800195","0.000000","0","0","0.000000","0.023","44"
"59.00","44.86","0.000","-44.26","2.02","60000.000894","0.000000000","13055.800195","0.000000","0","0","0.000000","0.049","44"
"60.10","44.87","0.000","-33.77","5.23","60000.000894","0.000000000","13055.800195","0.000000","0","0","0.000000","0.018","48"
