"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9730","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9397","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9122","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.8942","0.0001"
"4.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"5.400","1","0.000","0","-0.0000","1.8942","1.8942","0.0000"
"6.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"7.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"8.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"9.500","1","0.000","0","0.0075","1.8867","1.8871","-0.0205"
"10.600","1","0.002","0","0.0315","1.8627","1.8630","-0.0223"
"11.700","1","0.012","0","0.0558","1.8384","1.8397","-0.0250"
"12.800","1","0.026","0","0.0804","1.8139","1.8377","-0.0250"
"13.900","1","0.080","0","0.1053","1.7889","1.8392","-0.0250"
"15.000","1","0.126","0","0.1299","1.7643","1.8272","-0.0250"
"16.100","1","0.249","0","0.1548","1.7395","1.8208","-0.0250"
"17.200","1","0.591","0","0.1667","1.7275","1.7847","-0.0250"
"18.300","1","1.007","0","0.1839","1.7103","1.7473","-0.0250"
"19.400","1","0.915","0","0.1949","1.6993","1.7437","-0.0250"
"20.500","1","0.809","0","0.2230","1.6942","1.7315","-0.0250"
"21.600","1","0.521","0","0.2495","1.6942","1.7118","-0.0250"
"22.700","1","0.775","1","0.2611","1.6942","1.7223","0.0400"
"23.800","1","0.449","0","0.2861","1.6942","1.7416","-0.0250"
"24.900","1","0.752","0","0.2950","1.6942","1.7460","-0.0250"
"26.000","1","0.663","0","0.3170","1.6942","1.7526","-0.0250"
"27.100","1","11.039","1","0.3196","1.6942","1.7747","0.0400"
"28.200","1","5.851","1","0.3061","1.6942","1.7885","0.0400"
"29.300","1","0.920","1","0.3050","1.6942","1.7934","0.0400"
"30.400","1","0.538","0","0.3141","1.6942","1.7757","-0.0250"
"31.500","1","0.397","0","0.3135","1.6942","1.7472","-0.0250"
"32.600","1","0.539","0","0.3201","1.6942","1.7393","-0.0250"
"33.700","1","0.472","0","0.3191","1.6942","1.7345","-0.0250"
"34.800","1","0.451","0","0.3212","1.6942","1.7228","-0.0250"
"35.900","1","0.883","1","0.3245","1.6942","1.7121","0.0400"
"37.000","1","0.871","1","0.3277","1.6942","1.7032","0.0400"
"38.100","1","1.623","1","0.3249","1.6942","1.7165","0.0400"
"39.200","1","0.949","0","0.3217","1.6942","1.7161","-0.0250"
"40.300","1","0.669","0","0.3200","1.6942","1.7237","-0.0250"
"41.400","1","0.807","0","0.3200","1.6942","1.7205","-0.0250"
"42.500","1","0.599","0","0.3280","1.6942","1.6985","-0.0250"
"43.600","1","0.748","0","0.3272","1.6942","1.6974","-0.0250"
"44.699","1","0.693","0","0.3337","1.6942","1.6958","-0.0250"
"45.799","1","0.363","0","0.3355","1.6942","1.6944","-0.0104"
"46.899","1","0.776","0","0.3515","1.6942","1.6850","0.0250"
"47.999","1","1.130","0","0.3751","1.6942","1.6851","0.0250"
"49.099","1","0.882","1","0.3806","1.6942","1.6953","0.0400"
"50.199","1","0.440","0","0.3919","1.6942","1.6943","-0.0052"
"51.299","1","0.341","0","0.3919","1.6942","1.6934","0.0250"
"52.399","1","0.260","0","0.3919","1.6942","1.6945","-0.0150"
"53.499","1","0.269","0","0.3919","1.6942","1.6949","-0.0250"
"54.599","1","0.235","0","0.3919","1.6942","1.6946","-0.0212"
"55.699","1","0.186","0","0.3919","1.6942","1.6945","-0.0160"
"56.799","1","0.157","0","0.3919","1.6942","1.6947","-0.0250"
"57.899","1","0.129","0","0.3919","1.6942","1.6946","-0.0238"
"58.999","1","0.109","0","0.3919","1.6942","1.6950","-0.0250"
"60.099","1","0.168","0","0.3919","1.6942","1.6951","-0.0250"
