"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.078","-0.114","0.732","0.078","-0.114","0.732","-1"
"0.253","0.009","3.044","0.253","0.009","3.044","-1"
"-0.027","-0.993","2.715","-0.027","-0.993","2.715","-1"
"-0.170","-11.517","164.771","-0.170","-11.517","164.771","-1"
"17.795","-86.527","857.152","17.795","-86.527","857.152","-1"
"52.250","-249.422","1565.117","52.250","-249.422","1565.117","-1"
"59.114","2.838","1903.223","59.114","2.838","1903.223","-1"
"-75.791","-3.681","1233.895","-75.791","-3.681","1233.895","-1"
"36.189","6.282","1104.037","36.189","6.282","1104.037","-1"
"67.910","-17.611","2391.980","67.910","-17.611","2391.980","-1"
"64.896","-44.830","2007.110","64.896","-44.830","2007.110","-1"
"-50.438","20.642","2233.403","-50.438","20.642","2233.403","-1"
"-125.248","108.690","4092.042","-125.248","108.690","4092.042","-1"
"-119.688","51.494","3835.154","-119.688","51.494","3835.154","-1"
"-136.758","96.467","2983.513","-136.758","96.467","2983.513","-1"
"-164.306","76.665","3254.423","-164.306","76.665","3254.423","-1"
"-140.438","121.401","3020.133","-140.438","121.401","3020.133","-1"
"-406.660","-52.602","3657.809","-406.660","-52.602","3657.809","-1"
"-35.075","39.930","3489.874","-35.075","39.930","3489.874","-1"
"-141.838","-68.531","3219.820","-141.838","-68.531","3219.820","-1"
"-240.205","196.355","3799.536","-240.205","196.355","3799.536","-1"
