"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.133","1.000","0.000","948.815","0.0000"
"1.100","1.133","1.000","0.000","1176.216","0.0000"
"2.200","2.233","1.000","0.000","1175.995","0.0000"
"3.300","3.333","1.000","0.000","1175.993","0.0000"
"4.400","4.433","1.000","0.000","1176.001","0.0000"
"5.500","5.533","1.000","0.000","1175.916","0.0000"
"6.600","6.633","1.000","0.000","1175.121","0.0000"
"7.700","7.733","1.000","0.000","1174.304","0.0000"
"8.700","8.733","1.000","0.000","1174.181","0.0000"
"9.700","9.733","1.000","0.000","1175.043","0.0300"
"10.700","10.733","1.000","0.000","1172.353","0.0300"
"11.700","11.733","1.000","0.000","1093.011","0.0300"
"12.700","12.733","1.000","0.000","1101.577","0.0300"
"13.700","13.733","1.000","0.000","682.023","0.0300"
"14.700","14.733","1.000","0.000","448.094","0.0300"
"15.700","15.733","1.000","0.000","427.017","0.0300"
"16.800","16.833","0.000","0.957","202.991","0.0000"
"17.900","17.933","1.000","0.097","131.319","0.0300"
"19.000","19.033","1.000","0.083","302.009","0.0300"
"20.100","20.133","1.000","0.000","182.259","0.0300"
"21.200","21.233","0.827","17.514","50.339","0.0240"
"22.300","22.333","1.000","19.155","244.353","0.0300"
"23.400","23.433","0.000","8.827","27.351","0.0000"
"24.500","24.533","0.000","18.702","10.533","0.0000"
"25.600","25.633","0.000","19.576","32.169","0.0000"
"26.700","26.733","1.000","12.975","425.027","0.0300"
"27.800","27.833","0.000","37.751","24.977","0.0000"
"28.900","28.933","1.000","13.409","409.431","0.0300"
"30.000","30.033","0.946","38.348","211.486","0.0300"
"31.100","31.133","1.000","29.498","331.389","0.0300"
"32.200","32.233","1.000","35.912","362.390","0.0300"
"33.300","33.333","1.000","24.485","448.555","0.0300"
"34.400","34.433","1.000","14.178","418.276","0.0300"
"35.500","35.533","1.000","16.909","744.578","0.0300"
"36.600","36.633","1.000","46.949","575.643","0.0300"
"37.700","37.733","1.000","12.028","811.534","0.0300"
"38.800","38.833","1.000","42.316","530.263","0.0300"
"39.900","39.933","1.000","5.435","769.660","0.0300"
"41.000","41.033","0.910","26.249","313.551","0.0300"
"42.100","42.133","0.935","65.327","312.494","0.0300"
"43.200","43.233","1.000","38.486","488.525","0.0300"
"44.300","44.333","1.000","12.001","750.457","0.0300"
"45.400","45.433","1.000","10.661","520.344","0.0300"
