"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.3098","0.0207","0.0000","0.0000","1.5593","30.00","0"
"Helix","1.10","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.67","0"
"Helix","2.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.92","0"
"Helix","3.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","5.50","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","6.60","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","7.70","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","8.70","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","9.70","-10.00","-0.000","-0.000","-0.000","0.0215","0.0513","0.0119","0.0119","1.5301","23.79","0"
"Helix","10.70","-10.00","-0.000","-0.000","-0.000","0.0219","0.0602","0.0338","0.0338","1.5302","21.60","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0222","0.0728","0.0558","0.0558","1.5332","19.18","0"
"Helix","12.70","-10.00","-0.000","-0.000","-0.000","0.0273","0.0859","0.0777","0.0777","1.5434","16.80","0"
"Helix","13.70","-10.00","-0.000","-0.000","-0.000","0.0652","0.1078","0.0997","0.0997","1.5388","14.46","0"
"Helix","14.70","-10.00","-0.000","-0.000","-0.000","0.0651","0.1259","0.1216","0.1216","1.5472","11.96","0"
"Helix","15.70","-10.00","-0.000","-0.000","-0.000","0.0290","0.1453","0.1435","0.1435","1.5575","9.46","0"
"Helix","16.80","-10.00","0.957","6.423","-0.018","0.0381","0.1628","0.1619","0.1611","1.5630","8.22","0"
"Helix","17.90","-10.00","0.097","1.289","0.440","0.0331","0.1805","0.1801","0.1790","1.5686","6.77","0"
"Helix","19.00","-10.00","0.082","0.071","0.020","0.0425","0.1814","0.1805","0.1792","1.5620","6.41","0"
"Helix","20.10","-10.00","-0.000","-0.000","-0.000","0.0256","0.1864","0.1860","0.1847","1.5677","5.39","0"
"Helix","21.20","-10.00","17.570","19.146","-13.508","0.0320","0.1979","0.1977","0.1965","1.5693","5.02","0"
"Helix","22.30","-10.00","19.183","33.564","-3.100","0.0373","0.2064","0.2057","0.2047","1.5628","5.09","0"
"Helix","23.40","-10.00","8.952","9.826","-18.187","0.1320","0.2351","0.2346","0.2338","1.5654","4.07","0"
"Helix","24.50","-10.00","19.423","40.277","-13.537","0.1085","0.2447","0.2444","0.2435","1.5683","4.14","0"
"Helix","25.60","-10.00","19.553","27.611","6.106","0.0220","0.2369","0.2368","0.2360","1.5707","3.99","0"
"Helix","26.70","-10.00","13.707","28.281","-21.911","0.1813","0.2478","0.2473","0.2463","1.5636","4.06","0"
"Helix","27.80","-10.00","38.265","36.454","-12.263","0.0280","0.2705","0.2705","0.2696","1.5806","1.52","0"
"Helix","28.90","-10.00","13.831","27.757","-14.198","0.2861","0.2848","0.2848","0.2838","1.5748","1.37","0"
"Helix","30.00","-10.00","39.521","101.677","15.776","0.2371","0.2964","0.2964","0.2956","1.5767","0.08","0"
"Helix","31.10","-10.00","29.958","38.271","-20.805","0.1918","0.3044","0.3044","0.3037","1.5789","0.24","0"
"Helix","32.20","-10.00","36.395","41.767","-5.702","0.2229","0.3273","0.3271","0.3264","1.5678","0.56","0"
"Helix","33.30","-10.00","24.816","21.599","-23.910","0.1925","0.3512","0.3507","0.3500","1.5606","1.61","0"
"Helix","34.40","-10.00","15.061","80.485","8.770","0.2632","0.3745","0.3740","0.3734","1.5601","1.03","0"
"Helix","35.50","-10.00","16.976","5.750","-32.010","0.3524","0.3984","0.3981","0.3975","1.5642","1.69","0"
"Helix","36.60","-10.00","47.583","56.177","18.201","0.2189","0.4230","0.4222","0.4216","1.5536","2.11","0"
"Helix","37.70","-10.00","12.152","10.923","-8.086","0.2358","0.4469","0.4463","0.4458","1.5571","2.29","0"
"Helix","38.80","-10.00","42.999","54.174","-21.318","0.2098","0.4723","0.4705","0.4699","1.5381","3.07","0"
"Helix","39.90","-10.00","5.532","12.422","1.883","0.3632","0.4954","0.4946","0.4940","1.5510","1.97","0"
"Helix","41.00","-10.00","26.022","37.264","17.857","0.2510","0.5174","0.5170","0.5165","1.5602","-0.78","0"
"Helix","42.10","-10.00","68.195","85.522","-47.385","0.2861","0.5408","0.5405","0.5400","1.5623","-0.54","0"
"Helix","43.20","-10.00","39.839","102.431","24.488","0.2316","0.5594","0.5591","0.5586","1.5621","-0.94","0"
"Helix","44.30","-10.00","13.218","26.803","-13.679","0.2568","0.5832","0.5832","0.5827","1.5757","-1.25","0"
"Helix","45.40","-10.00","10.906","16.630","2.561","0.2898","0.6063","0.6063","0.6058","1.5736","-2.08","0"
