"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"14.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.80","4.800000","5.400000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.90","5.600000","5.800000","1.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.00","5.800000","7.200000","3.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.10","8.600000","9.800000","5.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.20","14.400000","14.400000","7.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.30","16.800000","17.000000","9.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"23.40","16.400000","17.600000","10.200000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"24.50","14.400000","20.400000","10.600000","0.600000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"25.60","11.600000","21.000000","11.000000","3.000000","3.000000","0.000000","0.000000","0.000000","0.000000","0"
"26.70","16.400000","22.200000","13.200000","3.800000","4.000000","0.000000","0.000000","0.000000","0.000000","0"
"27.80","16.800000","25.200000","14.400000","5.200000","6.000000","0.400000","0.000000","0.400000","0.000000","0"
"28.90","18.600000","28.600000","16.000000","5.400000","6.400000","0.400000","0.000000","0.400000","0.000000","0"
"30.00","24.000000","34.600001","16.800000","5.400000","8.600000","0.600000","0.000000","0.600000","0.200000","0"
"31.10","18.800000","36.200001","18.200000","9.400000","13.000000","2.400000","0.000000","2.600000","0.400000","0"
"32.20","20.400000","37.600001","19.600000","9.200000","15.000000","3.000000","0.000000","3.000000","0.600000","0"
"33.30","23.200000","41.600001","21.000000","8.400000","15.200000","5.000000","0.000000","5.000000","0.600000","0"
"34.40","22.600000","42.400001","22.200000","7.000000","16.000000","5.800000","0.000000","6.000000","0.600000","0"
"35.50","22.400000","47.400001","24.400000","5.600000","17.400000","6.800000","0.000000","7.600000","2.000000","0"
"36.60","27.000000","49.800001","26.000000","5.400000","18.400000","7.800000","0.000000","8.000000","2.400000","0"
"37.70","26.200000","53.800001","27.200000","6.000000","20.200000","9.000000","0.000000","9.400000","2.800000","0"
"38.80","31.200000","56.200001","30.400000","6.600000","21.600000","9.800000","0.000000","10.400000","3.200000","0"
"39.90","23.000000","59.800001","32.600000","7.200000","22.600000","10.400000","0.000000","10.400000","3.200000","0"
"41.00","21.400000","63.800001","34.800001","11.800000","27.200000","10.800000","0.000000","10.800000","3.200000","0"
"42.10","34.600001","73.000001","37.000001","12.600000","29.000000","10.800000","0.000000","10.800000","3.200000","0"
"43.20","28.200000","74.600001","44.000001","11.800000","29.000000","11.200000","0.000000","11.200000","3.200000","0"
"44.30","29.200000","77.800001","47.400001","11.000000","29.200000","11.600000","0.000000","11.600000","3.200000","0"
"45.40","32.600000","81.000001","49.400001","10.400000","29.800000","12.200000","0.000000","12.200000","3.200000","0"
