"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.235","0.00","0.00","60000.000894","0.000000000","7740.000115","0.000000","0","0","0.000000","0.000","-1"
"1.10","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7820.000117","0.000000","0","0","0.000000","0.000","-1"
"2.20","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"3.30","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"5.50","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"6.60","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"7.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"8.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"9.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8060.000120","0.000000","0","0","0.000000","0.000","-1"
"10.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8380.000125","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8700.000130","0.000000","0","0","0.000000","0.000","-1"
"12.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8934.800133","0.000000","0","0","0.000000","0.000","-1"
"13.70","45.00","0.294","9.09","0.00","60000.000894","0.000000000","9300.800139","0.000000","0","0","0.000000","0.047","47"
"14.70","45.00","0.241","59.81","0.00","60000.000894","0.000000000","9620.000143","0.000000","0","0","0.000000","0.000","-1"
"15.70","45.00","0.273","21.38","0.00","60000.000894","0.000000000","9900.000148","0.000000","0","0","0.000000","0.016","40"
"16.80","44.95","0.283","12.79","1.16","60000.000894","0.000000000","10067.200150","0.000000","0","0","0.000000","0.000","-1"
"17.90","44.99","0.282","3.22","0.25","60000.000894","0.000000000","10360.000154","0.000000","0","0","0.000000","0.000","-1"
"19.00","45.00","0.190","112.53","0.02","60000.000894","0.000000000","10539.600157","0.000000","0","0","0.000000","1.014","36"
"20.10","44.99","0.198","101.51","0.00","60000.000894","0.000000000","10600.000158","0.000000","0","0","0.000000","0.027","45"
"21.20","44.78","0.232","70.09","4.09","60000.000894","0.000000000","10631.400158","0.000000","0","0","0.000000","0.040","45"
"22.30","44.74","0.240","56.68","6.23","60000.000894","0.000000000","10697.200159","0.000000","0","0","0.000000","0.016","45"
"23.40","44.51","0.237","54.00","4.82","60000.000894","0.000000000","11143.600166","0.000000","0","0","0.000000","0.049","45"
"24.50","44.58","0.204","97.68","6.79","60000.000894","0.000000000","11640.000173","0.000000","0","0","0.000000","0.028","45"
"25.60","44.78","0.198","113.27","5.04","60000.000894","0.000000000","11539.200172","0.000000","0","0","0.000000","0.002","45"
"26.70","44.69","0.206","130.59","7.35","60000.000894","0.000000000","11449.600171","0.000000","0","0","0.000000","0.094","20"
"27.80","44.62","0.171","58.85","8.22","60000.000894","0.000000000","11619.200173","0.400000","0","0","0.000000","0.068","19"
"28.90","44.47","0.167","118.90","8.11","60000.000894","0.000000000","11797.600176","0.400000","0","0","0.000000","0.000","-1"
"30.00","44.18","0.194","88.39","22.01","60000.000894","0.000000000","11881.400177","0.600000","0","0","0.000000","0.538","7"
"31.10","44.59","0.229","74.46","8.21","60000.000894","0.000000000","11979.800179","2.400000","0","0","0.000000","0.318","28"
"32.20","44.64","0.196","49.58","8.88","60000.000894","0.000000000","12259.600183","3.000000","0","0","0.000000","0.149","45"
"33.30","44.74","0.175","136.98","5.53","60000.000894","0.000000000","12576.800187","5.000000","0","0","0.000000","0.111","16"
"34.40","44.48","0.143","167.69","13.91","60000.000894","0.000000000","12859.600192","5.800000","0","0","0.000000","0.767","40"
"35.50","44.42","0.173","85.88","5.59","60000.000894","0.000000000","13103.200195","6.800000","0","0","0.000000","0.133","44"
"36.60","44.35","0.123","203.41","13.72","60000.000894","0.000000000","13404.200200","7.800000","0","0","0.000000","0.083","45"
"37.70","44.78","0.163","137.50","2.78","60000.000894","0.000000000","13685.800204","9.000000","0","0","0.000000","0.141","32"
"38.80","44.52","0.103","208.89","11.62","60000.000894","0.000000000","14032.800209","9.800000","0","0","0.000000","0.099","47"
"39.90","44.65","0.088","257.82","2.27","60000.000894","0.000000000","14735.000220","10.400000","0","0","0.000000","0.344","40"
"41.00","44.71","0.120","172.93","8.47","60000.000894","0.000000000","15165.200226","10.800000","0","0","0.000000","0.192","44"
"42.10","43.93","0.086","271.26","19.61","60000.000894","0.000000000","15143.600226","10.800000","0","0","0.000000","0.197","48"
"43.20","44.22","0.123","196.27","20.17","60000.000894","0.000000000","15648.000233","11.200000","0","0","0.000000","0.201","45"
"44.30","44.69","0.130","93.91","5.93","60000.000894","0.000000000","15818.600236","11.600000","0","0","0.000000","1.003","38"
"45.40","44.83","0.126","91.66","3.59","60000.000894","0.000000000","16146.400241","12.200000","0","0","0.000000","0.251","45"
