"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9735","0.0000"
"1.100","1","0.000","0","0.0000","1.8942","1.9418","-0.0250"
"2.200","1","0.000","0","0.0000","1.8942","1.9143","-0.0250"
"3.300","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"4.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"5.500","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"6.600","1","0.000","0","-0.0000","1.8942","1.8942","-0.0000"
"7.700","1","0.000","0","-0.0000","1.8942","1.8942","0.0000"
"8.700","1","0.000","0","-0.0000","1.8942","1.8942","-0.0000"
"9.700","1","0.001","0","0.0119","1.8823","1.8830","-0.0216"
"10.700","1","0.002","0","0.0338","1.8604","1.8611","-0.0221"
"11.700","1","0.012","0","0.0558","1.8384","1.8400","-0.0250"
"12.700","1","0.047","0","0.0777","1.8165","1.8243","-0.0250"
"13.700","1","0.149","0","0.0997","1.7945","1.7988","-0.0250"
"14.700","1","0.212","0","0.1216","1.7726","1.7825","-0.0250"
"15.700","1","0.391","0","0.1436","1.7506","1.7673","-0.0250"
"16.800","1","1.442","1","0.1611","1.7331","1.7555","0.0400"
"17.900","1","0.561","0","0.1791","1.7152","1.7513","-0.0250"
"19.000","1","0.442","0","0.1794","1.7148","1.7499","-0.0250"
"20.100","1","0.344","0","0.1849","1.7093","1.7442","-0.0250"
"21.200","1","0.652","0","0.1967","1.6976","1.7364","-0.0250"
"22.300","1","0.547","0","0.2049","1.6942","1.7288","-0.0250"
"23.400","1","1.615","1","0.2339","1.6942","1.7229","0.0400"
"24.500","1","1.243","1","0.2440","1.6942","1.7481","0.0400"
"25.600","1","1.044","0","0.2366","1.6942","1.7500","-0.0250"
"26.700","1","0.319","0","0.2468","1.6942","1.7313","-0.0250"
"27.800","1","1.379","1","0.2702","1.6942","1.7136","0.0400"
"28.900","1","0.586","0","0.2845","1.6942","1.7080","-0.0250"
"30.000","1","0.616","0","0.2962","1.6942","1.6909","0.0250"
"31.100","1","0.538","0","0.3043","1.6942","1.6968","-0.0250"
"32.200","1","0.219","0","0.3271","1.6942","1.6868","0.0250"
"33.300","1","0.518","0","0.3507","1.6942","1.6922","0.0250"
"34.400","1","0.406","0","0.3741","1.6942","1.6853","0.0250"
"35.500","1","0.448","0","0.3983","1.6942","1.6962","-0.0250"
"36.600","1","0.323","0","0.4224","1.6942","1.6881","0.0250"
"37.700","1","0.380","0","0.4465","1.6942","1.6950","-0.0231"
"38.800","1","0.398","0","0.4707","1.6942","1.6843","0.0250"
"39.900","1","0.452","0","0.4953","1.6942","1.7108","-0.0250"
"41.000","1","0.627","0","0.5184","1.6942","1.6993","-0.0250"
"42.100","1","0.620","0","0.5422","1.6942","1.6854","0.0250"
"43.200","1","0.441","0","0.5610","1.6942","1.6982","-0.0250"
"44.300","1","0.334","0","0.5857","1.6942","1.7030","-0.0250"
"45.400","1","0.487","0","0.6087","1.6942","1.6926","0.0250"
