"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.860","-0.611","4.075","0.860","-0.611","4.075","-1"
"0.151","-0.018","0.685","0.151","-0.018","0.685","-1"
"0.209","-0.008","0.303","0.209","-0.008","0.303","-1"
"1.234","-0.499","1.883","1.234","-0.499","1.883","-1"
"3.822","-2.604","3.722","3.822","-2.604","3.722","-1"
"-15.796","-16.125","68.879","-15.796","-16.125","68.879","-1"
"-0.035","-1.862","4.660","-0.035","-1.862","4.660","-1"
"0.043","-0.839","5.368","0.043","-0.839","5.368","-1"
"6.046","2.211","13.701","6.046","2.211","13.701","-1"
"3.009","0.912","4.269","3.009","0.912","4.269","-1"
"0.085","-0.158","0.411","0.085","-0.158","0.411","-1"
"2.450","-3.132","4.090","2.450","-3.132","4.090","-1"
"-7.619","-13.267","105.552","-7.619","-13.267","105.552","-1"
"1.637","0.581","10.344","1.637","0.581","10.344","-1"
"-6.962","2.317","41.626","-6.962","2.317","41.626","-1"
"3.560","-12.750","44.433","3.560","-12.750","44.433","-1"
"2.723","-1.486","6.028","2.723","-1.486","6.028","-1"
"-6.544","-13.991","135.987","-6.544","-13.991","135.987","-1"
"13.044","26.653","249.062","13.044","26.653","249.062","-1"
"-2.282","-11.091","15.372","-2.282","-11.091","15.372","-1"
"0.004","-0.001","0.012","0.004","-0.001","0.012","-1"
"-0.153","3.323","49.339","-0.153","3.323","49.339","-1"
