"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","997.364","0.0000"
"1.200","1.217","1.000","0.000","1176.064","0.0000"
"2.300","2.317","1.000","0.000","1175.999","0.0000"
"3.400","3.417","1.000","0.000","1153.920","0.0000"
"4.400","4.417","1.000","0.000","1175.250","0.0000"
"5.400","5.417","1.000","0.000","757.429","0.0000"
"6.400","6.417","1.000","0.000","1116.130","0.0000"
"7.400","7.417","1.000","0.000","1149.574","0.0000"
"8.400","8.417","1.000","0.000","1176.502","0.0000"
"9.500","9.517","1.000","0.000","1203.114","0.0300"
"10.600","10.617","1.000","0.000","1195.971","0.0300"
"11.700","11.717","1.000","0.000","1094.871","0.0300"
"12.800","12.817","1.000","0.000","1322.537","0.0300"
"13.900","13.917","1.000","0.000","1116.414","0.0300"
"15.000","15.017","1.000","0.000","1131.883","0.0300"
"16.100","16.117","1.000","0.000","1391.744","0.0300"
"17.200","17.217","1.000","0.000","1119.856","0.0300"
"18.300","18.317","1.000","0.000","1103.837","0.0300"
"19.400","19.417","1.000","0.000","1133.851","0.0300"
"20.500","20.517","1.000","0.000","1302.660","0.0300"
"21.600","21.617","1.000","0.000","1124.854","0.0300"
"22.700","22.717","1.000","0.000","1239.362","0.0300"
"23.800","23.817","1.000","0.000","1183.897","0.0300"
"24.900","24.917","1.000","0.000","1121.858","0.0300"
"26.000","26.017","1.000","0.000","1238.307","0.0300"
"27.100","27.117","1.000","0.000","1168.158","0.0300"
"28.200","28.217","1.000","0.000","1148.904","0.0300"
"29.300","29.317","1.000","0.000","1148.555","0.0300"
"30.400","30.417","1.000","0.000","1292.766","0.0300"
"31.500","31.517","1.000","0.000","1184.339","0.0300"
"32.600","32.617","1.000","0.000","1014.163","0.0300"
"33.700","33.717","1.000","0.000","1169.651","0.0300"
"34.800","34.817","1.000","0.000","1244.819","0.0300"
"35.900","35.917","1.000","0.000","1180.931","0.0300"
"37.000","37.017","1.000","0.000","1151.544","0.0300"
"38.100","38.117","1.000","0.000","1106.672","0.0300"
"39.200","39.217","1.000","0.000","963.715","0.0300"
"40.300","40.317","1.000","0.000","965.196","0.0300"
"41.400","41.417","0.000","0.000","1214.732","0.0000"
"42.500","42.517","1.000","0.000","1163.363","0.0300"
"43.600","43.617","1.000","0.000","1154.407","0.0300"
"44.699","44.717","1.000","0.000","1143.172","0.0300"
"45.799","45.817","1.000","0.000","1171.292","0.0300"
