"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.2769","0.0212","0.0000","0.0000","1.5588","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0023","0.0500","0.0000","0.0000","1.5300","26.08","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0320","0.0791","0.0000","0.0000","1.5009","26.53","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.2137","0.0317","0.0000","0.0000","1.5483","28.20","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0433","0.0769","0.0000","0.0000","1.5031","28.05","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0205","0.0643","0.0000","0.0000","1.5157","27.58","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0484","0.0858","0.0000","0.0000","1.4942","26.68","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0210","0.0670","0.0075","0.0075","1.5134","26.28","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0263","0.0815","0.0148","0.0103","1.4999","25.97","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.1405","0.0800","0.0345","0.0325","1.5079","25.27","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.2785","0.0662","0.0254","0.0200","1.5189","24.68","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.1840","0.0840","0.0293","0.0205","1.5013","25.10","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.1249","0.0797","0.0292","-0.0012","1.5059","26.16","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.3346","0.0647","0.0227","-0.0016","1.5194","27.24","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0811","0.0793","0.0256","0.0254","1.5049","24.49","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.1305","0.0945","0.0045","-0.0009","1.4856","26.55","0"
"Helix","19.40","-10.00","-0.000","-0.000","-0.000","0.0820","0.0834","0.0070","0.0063","1.4968","26.33","0"
"Helix","20.50","-10.00","-0.000","-0.000","-0.000","0.1717","0.0929","0.0309","0.0135","1.4923","27.66","0"
"Helix","21.60","-10.00","-0.000","-0.000","-0.000","0.2028","0.0739","0.0558","0.0099","1.5316","26.58","0"
"Helix","22.70","-10.00","-0.000","-0.000","-0.000","0.1661","0.0920","0.0436","0.0207","1.4990","24.76","0"
"Helix","23.80","-10.00","-0.000","-0.000","-0.000","0.0562","0.0663","0.0250","0.0052","1.5186","23.99","0"
"Helix","24.90","-10.00","-0.000","-0.000","-0.000","0.1527","0.0782","0.0204","0.0012","1.5045","24.73","0"
"Helix","26.00","-10.00","-0.000","-0.000","-0.000","0.0643","0.0797","0.0126","0.0081","1.5013","24.11","0"
"Helix","27.10","-10.00","-0.000","-0.000","-0.000","0.0139","0.0909","0.0205","0.0152","1.4914","24.80","0"
"Helix","28.20","-10.00","-0.000","-0.000","-0.000","0.0331","0.1065","0.0193","0.0173","1.4753","24.28","0"
"Helix","29.30","-10.00","-0.000","-0.000","-0.000","0.0679","0.0815","0.0251","0.0248","1.5025","23.53","0"
"Helix","30.40","-10.00","-0.000","-0.000","-0.000","0.2072","0.0773","0.0229","0.0228","1.5061","25.63","0"
"Helix","31.50","-10.00","-0.000","-0.000","-0.000","0.0579","0.1009","0.0159","0.0009","1.4804","25.11","0"
"Helix","32.60","-10.00","-0.000","-0.000","-0.000","0.1268","0.1170","0.0276","0.0250","1.4663","25.11","0"
"Helix","33.70","-10.00","-0.000","-0.000","-0.000","0.1250","0.1209","0.0166","0.0116","1.4602","27.09","0"
"Helix","34.80","-10.00","-0.000","-0.000","-0.000","0.2833","0.0738","0.0434","-0.0179","1.5203","29.01","0"
"Helix","35.90","-10.00","-0.000","-0.000","-0.000","0.0903","0.0919","0.0602","0.0107","1.5105","26.26","0"
"Helix","37.00","-10.00","-0.000","-0.000","-0.000","0.0300","0.0958","0.0551","0.0169","1.5016","25.24","0"
"Helix","38.10","-10.00","-0.000","-0.000","-0.000","0.0224","0.1076","0.0648","0.0364","1.4941","22.49","0"
"Helix","39.20","-10.00","-0.000","-0.000","-0.000","0.0110","0.1025","0.0719","0.0421","1.5070","19.74","0"
"Helix","40.30","-10.00","-0.000","-0.000","-0.000","0.0830","0.1306","0.0754","0.0361","1.4733","22.71","0"
"Helix","41.40","-10.00","-0.000","-0.000","-0.000","0.1919","0.1211","0.0771","0.0185","1.4866","25.56","0"
"Helix","42.50","-10.00","-0.000","-0.000","-0.000","0.1521","0.1260","0.0773","0.0007","1.4805","27.64","0"
"Helix","43.60","-10.00","-0.000","-0.000","-0.000","0.1080","0.1240","0.1196","0.0050","1.5474","26.05","0"
"Helix","44.70","-10.00","-0.000","-0.000","-0.000","0.0451","0.1195","0.1154","0.0080","1.5489","23.30","0"
"Helix","45.80","-10.00","-0.000","-0.000","-0.000","0.0222","0.1368","0.1205","0.0322","1.5153","22.80","0"
