"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000000","0.000000000","7734.375000","0.000000","0","0","0.000000","0.000","-1"
"1.20","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7804.687500","0.000000","0","0","0.000000","0.000","-1"
"2.30","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7867.187500","0.000000","0","0","0.000000","0.000","-1"
"3.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7882.812500","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8063.867188","0.000000","0","0","0.000000","0.000","-1"
"5.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7812.500000","0.000000","0","0","0.000000","0.000","-1"
"6.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7937.646484","0.000000","0","0","0.000000","0.000","-1"
"7.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8000.000000","0.000000","0","0","0.000000","0.000","-1"
"8.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8074.316406","0.000000","0","0","0.000000","0.000","-1"
"9.50","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7930.322266","0.000000","0","0","0.000000","0.000","-1"
"10.60","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8148.583984","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8473.046875","0.000000","0","0","0.000000","0.000","-1"
"12.80","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8329.931641","0.000000","0","0","0.000000","0.000","-1"
"13.90","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8259.814453","0.000000","0","0","0.000000","0.000","-1"
"15.00","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7979.638672","0.000000","0","0","0.000000","0.000","-1"
"16.10","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7901.806641","0.000000","0","0","0.000000","0.000","-1"
"17.20","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8430.908203","0.000000","0","0","0.000000","0.000","-1"
"18.30","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8188.378906","0.000000","0","0","0.000000","0.000","-1"
"19.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8233.447266","0.000000","0","0","0.000000","0.000","-1"
"20.50","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8284.472656","0.000000","0","0","0.000000","0.000","-1"
"21.60","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8192.285156","0.000000","0","0","0.000000","0.000","-1"
"22.70","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8580.029297","0.000000","0","0","0.000000","0.000","-1"
"23.80","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8359.570312","0.000000","0","0","0.000000","0.000","-1"
"24.90","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8156.250000","0.000000","0","0","0.000000","0.000","-1"
"26.00","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8441.943359","0.000000","0","0","0.000000","0.000","-1"
"27.10","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8624.804688","0.000000","0","0","0.000000","0.000","-1"
"28.20","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8862.890625","0.000000","0","0","0.000000","0.000","-1"
"29.30","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8593.457031","0.000000","0","0","0.000000","0.000","-1"
"30.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8380.712891","0.000000","0","0","0.000000","0.000","-1"
"31.50","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8529.248047","0.000000","0","0","0.000000","0.000","-1"
"32.60","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8581.738281","0.000000","0","0","0.000000","0.000","-1"
"33.70","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8313.281250","0.000000","0","0","0.000000","0.000","-1"
"34.80","45.00","0.300","0.00","0.00","60000.000000","0.000000000","7845.605469","0.000000","0","0","0.000000","0.000","-1"
"35.90","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8160.986328","0.000000","0","0","0.000000","0.000","-1"
"37.00","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8471.826172","0.000000","0","0","0.000000","0.000","-1"
"38.10","45.00","0.300","0.05","0.00","60000.000000","0.000000000","8958.154297","0.000000","0","0","0.000000","0.000","-1"
"39.20","45.00","0.300","0.15","0.00","60000.000000","0.000000000","9222.705078","0.000000","0","0","0.000000","0.000","-1"
"40.30","45.00","0.300","0.03","0.00","60000.000000","0.000000000","8748.242188","0.000000","0","0","0.000000","0.000","-1"
"41.40","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8320.361328","0.000000","0","0","0.000000","0.000","-1"
"42.50","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8030.175781","0.000000","0","0","0.000000","0.000","-1"
"43.60","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8074.462891","0.000000","0","0","0.000000","0.000","-1"
"44.70","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8205.712891","0.000000","0","0","0.000000","0.000","-1"
"45.80","45.00","0.300","0.00","0.00","60000.000000","0.000000000","8443.164062","0.000000","0","0","0.000000","0.000","-1"
