"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9730","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9397","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9122","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.9055","-0.0250"
"4.400","1","0.001","0","-0.0001","1.8942","1.8879","0.0250"
"5.400","1","0.001","0","-0.0003","1.8942","1.9457","-0.0250"
"6.400","1","0.000","0","-0.0005","1.8942","1.9009","-0.0250"
"7.400","1","0.000","0","-0.0002","1.8942","1.9135","-0.0250"
"8.400","1","0.002","0","-0.0004","1.8942","1.8826","0.0250"
"9.500","1","0.000","0","0.0074","1.8868","1.8868","0.0016"
"10.600","1","0.004","0","0.0102","1.8840","1.8783","0.0250"
"11.700","1","0.004","0","0.0324","1.8618","1.8836","-0.0250"
"12.800","1","0.006","0","0.0201","1.8741","1.8892","-0.0250"
"13.900","1","0.016","0","0.0204","1.8738","1.8692","0.0250"
"15.000","1","0.002","0","-0.0013","1.8942","1.8852","0.0250"
"16.100","1","0.001","0","-0.0016","1.8942","1.9090","-0.0250"
"17.200","1","0.007","0","0.0254","1.8688","1.8736","-0.0250"
"18.300","1","0.002","0","-0.0012","1.8942","1.8792","0.0250"
"19.400","1","0.002","0","0.0062","1.8880","1.8865","0.0250"
"20.500","1","0.002","0","0.0133","1.8809","1.8950","-0.0250"
"21.600","1","0.000","0","0.0105","1.8837","1.9239","-0.0250"
"22.700","1","0.009","0","0.0207","1.8735","1.8819","-0.0250"
"23.800","1","0.004","0","0.0058","1.8884","1.8933","-0.0250"
"24.900","1","0.010","0","0.0015","1.8927","1.8763","0.0250"
"26.000","1","0.014","0","0.0081","1.8861","1.8775","0.0250"
"27.100","1","0.013","0","0.0148","1.8794","1.8808","-0.0250"
"28.200","1","0.024","0","0.0157","1.8785","1.8695","0.0250"
"29.300","1","0.037","0","0.0246","1.8696","1.8701","-0.0250"
"30.400","1","0.003","0","0.0227","1.8715","1.8867","-0.0250"
"31.500","1","0.047","0","0.0004","1.8938","1.8758","0.0250"
"32.600","1","0.045","0","0.0240","1.8702","1.8462","0.0250"
"33.700","1","0.040","0","0.0106","1.8836","1.8552","0.0250"
"34.800","1","0.001","0","-0.0175","1.8942","1.9373","-0.0250"
"35.900","1","0.002","0","0.0113","1.8829","1.8940","-0.0250"
"37.000","1","0.010","0","0.0174","1.8768","1.8863","-0.0250"
"38.100","1","0.026","0","0.0365","1.8577","1.8619","-0.0250"
"39.200","1","0.058","0","0.0431","1.8511","1.8559","-0.0250"
"40.300","1","0.074","0","0.0362","1.8580","1.8273","0.0250"
"41.400","1","0.089","1","0.0192","1.8750","1.8609","0.0400"
"42.500","1","0.009","0","0.0015","1.8927","1.8732","0.0250"
"43.600","1","0.000","0","0.0081","1.8861","1.9294","-0.0250"
"44.699","1","0.000","0","0.0108","1.8834","1.9056","-0.0250"
"45.799","1","0.008","0","0.0348","1.8594","1.8588","0.0250"
