"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.085","-0.183","0.799","0.085","-0.183","0.799","-1"
"0.234","0.015","3.114","0.234","0.015","3.114","-1"
"-0.068","-0.972","2.258","-0.068","-0.972","2.258","-1"
"0.739","-11.079","163.999","0.739","-11.079","163.999","-1"
"-9.365","-45.598","169.650","-9.365","-45.598","169.650","-1"
"-50.157","-129.257","1192.819","-50.157","-129.257","1192.819","-1"
"-133.396","-24.615","1870.991","-133.396","-24.615","1870.991","-1"
"145.946","7.920","1552.239","145.946","7.920","1552.239","-1"
"29.822","-20.973","1773.462","29.822","-20.973","1773.462","-1"
"-70.570","21.505","1798.162","-70.570","21.505","1798.162","-1"
"-34.521","122.971","1394.627","-34.521","122.971","1394.627","-1"
"72.543","-10.168","1910.420","72.543","-10.168","1910.420","-1"
"-41.366","8.437","2046.765","-41.366","8.437","2046.765","-1"
"-171.078","-57.540","1730.494","-171.078","-57.540","1730.494","-1"
"118.723","-56.940","1379.182","118.723","-56.940","1379.182","-1"
"-120.793","339.609","1528.887","-120.793","339.609","1528.887","-1"
"107.330","2.397","1069.831","107.330","2.397","1069.831","-1"
"-14.554","0.115","1967.122","-14.554","0.115","1967.122","-1"
"-1.570","-3.770","1857.116","-1.570","-3.770","1857.116","-1"
"-107.575","63.775","1742.266","-107.575","63.775","1742.266","-1"
"65.411","97.129","2516.739","65.411","97.129","2516.739","-1"
"17.000","36.695","1945.855","17.000","36.695","1945.855","-1"
"-2.545","-15.110","1525.077","-2.545","-15.110","1525.077","-1"
"55.263","-6.708","1022.617","55.263","-6.708","1022.617","-1"
"130.764","45.934","1314.561","130.764","45.934","1314.561","-1"
"59.227","-10.456","1263.122","59.227","-10.456","1263.122","-1"
"120.380","-64.684","1662.370","120.380","-64.684","1662.370","-1"
"-39.296","7.452","1951.375","-39.296","7.452","1951.375","-1"
