"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","997.364","0.0000"
"1.200","1.217","1.000","0.000","1176.064","0.0000"
"2.300","2.317","1.000","0.000","1175.999","0.0000"
"3.400","3.417","1.000","0.000","1176.004","0.0000"
"4.400","4.417","1.000","0.000","1175.999","0.0000"
"5.400","5.417","1.000","0.000","1175.927","0.0000"
"6.400","6.417","1.000","0.000","1175.253","0.0000"
"7.400","7.417","1.000","0.000","1174.382","0.0000"
"8.400","8.417","1.000","0.000","1174.143","0.0000"
"9.500","9.517","1.000","0.000","1174.088","0.0300"
"10.600","10.617","1.000","0.000","1173.019","0.0300"
"11.700","11.717","1.000","0.000","1089.846","0.0300"
"12.800","12.817","1.000","0.000","1136.941","0.0300"
"13.900","13.917","1.000","0.000","1089.217","0.0300"
"15.000","15.017","1.000","0.000","471.089","0.0300"
"16.100","16.117","1.000","0.000","416.947","0.0300"
"17.200","17.217","1.000","0.000","655.826","0.0300"
"18.300","18.317","0.000","0.000","253.385","0.0000"
"19.400","19.417","1.000","0.000","309.439","0.0300"
"20.500","20.517","1.000","0.670","177.741","0.0300"
"21.600","21.617","1.000","9.191","93.824","0.0300"
"22.700","22.717","0.000","-0.239","154.622","0.0000"
"23.800","23.817","0.000","0.996","74.384","0.0000"
"24.900","24.917","0.000","97.998","27.703","0.0000"
"26.000","26.017","1.000","44.490","434.531","0.0300"
"27.100","27.117","0.000","64.471","234.719","0.0000"
"28.200","28.217","0.000","12.964","33.277","0.0000"
"29.300","29.317","0.709","0.547","2.609","0.0180"
"30.400","30.417","0.724","45.390","39.624","0.0232"
"31.500","31.517","0.000","18.939","192.187","0.0000"
"32.600","32.617","0.000","34.292","2.450","0.0000"
"33.700","33.717","0.000","0.210","1.203","0.0000"
"34.800","34.817","0.598","1.931","245.030","0.0191"
"35.900","35.917","0.315","2.118","458.703","0.0112"
"37.000","37.017","0.489","13.147","0.757","0.0144"
"38.100","38.117","1.000","14.299","409.864","0.0268"
"39.200","39.217","0.000","34.747","173.450","0.0000"
"40.300","40.317","1.000","38.386","0.249","0.0300"
"41.400","41.417","0.364","19.616","53.343","0.0145"
"42.500","42.517","0.197","36.636","237.679","0.0086"
"43.600","43.617","1.000","54.266","544.285","0.0300"
"44.699","44.717","1.000","-24.044","149.030","0.0300"
"45.799","45.817","0.344","34.760","140.937","0.0114"
"46.899","46.917","0.000","4.955","90.848","0.0000"
"47.999","48.017","0.000","23.680","0.011","0.0039"
"49.099","49.117","1.000","41.191","874.398","0.0300"
"50.199","50.217","0.851","29.202","197.905","0.0000"
"51.299","51.317","1.000","102.643","322.527","0.0000"
"52.399","52.417","1.000","138.035","586.395","0.0000"
"53.499","53.517","1.000","40.589","649.603","0.0000"
"54.599","54.617","1.000","-1.176","422.257","0.0000"
"55.699","55.717","1.000","26.574","331.309","0.0000"
"56.799","56.817","1.000","35.950","520.399","0.0000"
"57.899","57.917","0.000","54.183","38.663","0.0000"
"58.999","59.017","1.000","15.882","245.404","0.0000"
"60.099","60.117","0.000","11.344","149.030","0.0000"
