"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.2769","0.0212","0.0000","0.0000","1.5588","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0207","0.0504","0.0075","0.0075","1.5301","24.24","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0221","0.0590","0.0315","0.0315","1.5302","21.83","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0223","0.0728","0.0558","0.0558","1.5333","19.18","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0684","0.0963","0.0801","0.0801","1.5266","18.27","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0222","0.1100","0.1044","0.1044","1.5456","15.52","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0241","0.1332","0.1287","0.1287","1.5459","12.77","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0486","0.1560","0.1530","0.1530","1.5495","10.02","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0227","0.1744","0.1713","0.1707","1.5471","9.54","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.0402","0.1827","0.1802","0.1795","1.5501","8.74","0"
"Helix","19.40","-10.00","-0.000","-0.000","-0.000","0.0232","0.1913","0.1905","0.1897","1.5615","6.53","0"
"Helix","20.50","-10.00","0.701","2.499","-1.990","0.0286","0.1937","0.1933","0.1924","1.5666","6.38","0"
"Helix","21.60","-10.00","9.303","9.367","3.822","0.0230","0.2023","0.2020","0.2012","1.5694","5.04","0"
"Helix","22.70","-10.00","-0.177","4.779","0.071","0.0327","0.2153","0.2151","0.2144","1.5901","3.27","0"
"Helix","23.80","-10.00","0.995","0.954","-0.684","0.0344","0.2309","0.2309","0.2302","1.5838","2.47","0"
"Helix","24.90","-10.00","98.909","149.094","-41.491","0.0284","0.2435","0.2435","0.2430","1.5843","2.44","0"
"Helix","26.00","-10.00","43.921","40.180","-34.203","0.0303","0.2542","0.2540","0.2536","1.5697","3.71","0"
"Helix","27.10","-10.00","65.867","67.472","-14.610","0.0395","0.2813","0.2798","0.2794","1.5510","4.80","0"
"Helix","28.20","-10.00","13.518","11.641","-8.844","0.0306","0.2962","0.2961","0.2956","1.5723","2.26","0"
