"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","2.600000","2.600000","2.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","3.000000","3.000000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","8.400000","8.800000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","14.600000","15.000000","4.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","16.200000","16.800000","5.600000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","19.000000","20.200000","6.400000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","28.000000","29.200000","8.600000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","28.800000","32.400000","12.200000","2.400000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","21.800000","34.200001","14.000000","6.400000","7.200000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","21.800000","37.800001","18.800000","6.600000","7.400000","0.400000","0.000000","0.400000","0.000000","0"
"29.30","12.800000","38.200001","22.400000","9.600000","10.600000","0.400000","0.000000","0.400000","0.000000","0"
"30.40","18.200000","38.800001","22.800000","8.200000","11.000000","1.600000","0.200000","2.000000","0.000000","0"
"31.50","19.000000","39.800001","23.200000","5.600000","11.200000","4.200000","0.200000","4.600000","0.400000","0"
"32.60","19.200000","41.800001","24.000000","3.800000","11.200000","6.200000","0.200000","6.400000","0.400000","0"
"33.70","16.800000","43.600001","26.000000","2.800000","11.400000","6.200000","0.200000","6.600000","0.400000","0"
"34.80","14.200000","44.200001","26.800000","0.400000","11.400000","6.600000","0.200000","9.600000","0.400000","0"
"35.90","19.200000","46.200001","27.400000","0.200000","11.600000","9.800000","0.200000","10.000000","0.400000","0"
"37.00","21.800000","47.200001","27.800000","0.200000","11.600000","10.200000","0.200000","10.400000","0.400000","0"
"38.10","21.200000","48.200001","28.400000","0.200000","11.600000","10.200000","0.200000","10.400000","0.400000","0"
"39.20","22.000000","48.600001","29.200000","0.000000","11.600000","10.400000","0.200000","10.600000","0.400000","0"
"40.30","26.600000","51.400001","30.000000","0.000000","11.600000","10.400000","0.200000","10.600000","0.400000","0"
"41.40","30.200000","55.200001","32.200000","0.000000","11.600000","10.400000","0.200000","10.600000","0.400000","0"
"42.50","31.400000","57.200001","33.000000","1.200000","12.600000","10.400000","0.200000","10.600000","0.800000","0"
"43.60","30.200000","59.000001","34.400001","6.200000","17.600000","10.400000","0.200000","10.600000","4.400000","0"
"44.70","30.200000","60.200001","35.800001","9.000000","20.400000","10.400000","0.200000","10.600000","5.800000","0"
"45.80","24.200000","61.200001","36.800001","9.600000","21.200000","10.400000","0.200000","10.600000","5.800000","0"
"46.90","27.600000","63.800001","37.800001","9.200000","21.200000","10.400000","0.200000","10.600000","5.800000","0"
"48.00","34.600001","66.200001","39.400001","7.000000","21.400000","10.400000","0.200000","10.600000","5.800000","0"
"49.10","34.200001","67.200001","41.200001","6.400000","22.200000","12.600000","0.200000","13.200000","5.800000","0"
"50.20","33.800001","68.200001","43.400001","4.800000","23.800000","15.400000","0.200000","16.400000","9.600000","0"
"51.30","38.600001","71.800001","45.400001","4.000000","24.000000","16.200000","0.200000","16.600000","9.800000","0"
"52.40","38.600001","72.800001","47.800001","2.800000","24.000000","18.200000","0.200000","18.600000","13.000000","0"
"53.50","33.600001","73.200001","49.200001","5.000000","26.200000","19.400000","0.200000","19.600000","14.000000","0"
"54.60","30.000000","74.200001","51.000001","5.600000","27.200000","19.600000","0.200000","19.800000","14.000000","0"
"55.70","33.000000","74.600001","51.600001","5.200000","28.600000","20.000000","0.200000","21.200000","14.000000","0"
"56.80","29.000000","75.200001","52.600001","7.600000","31.600000","21.600000","0.200000","22.000000","15.200000","0"
"57.90","28.200000","75.400001","53.400001","9.200000","33.200000","22.200000","0.200000","22.400000","15.200000","0"
"59.00","25.600000","75.800001","53.400001","10.200000","35.600001","22.200000","0.200000","22.400000","15.200000","0"
"60.10","21.200000","78.000001","54.200001","11.800000","39.200001","24.600000","0.200000","24.800000","15.200000","0"
