"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9730","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9397","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9122","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.8942","0.0001"
"4.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"5.400","1","0.000","0","-0.0000","1.8942","1.8942","0.0000"
"6.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"7.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"8.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"9.500","1","0.000","0","0.0075","1.8867","1.8871","-0.0205"
"10.600","1","0.002","0","0.0315","1.8627","1.8630","-0.0223"
"11.700","1","0.012","0","0.0558","1.8384","1.8397","-0.0250"
"12.800","1","0.026","0","0.0804","1.8139","1.8377","-0.0250"
"13.900","1","0.081","0","0.1053","1.7889","1.8392","-0.0250"
"15.000","1","0.187","0","0.1296","1.7646","1.8167","-0.0250"
"16.100","1","0.341","0","0.1541","1.7401","1.7783","-0.0250"
"17.200","1","0.431","0","0.1719","1.7223","1.7813","-0.0250"
"18.300","1","0.582","1","0.1808","1.7134","1.7675","0.0400"
"19.400","1","0.225","0","0.1914","1.7028","1.7569","-0.0250"
"20.500","1","0.336","0","0.1942","1.7000","1.7453","-0.0250"
"21.600","1","0.471","0","0.2030","1.6942","1.7344","-0.0250"
"22.700","1","1.120","1","0.2161","1.6942","1.7208","0.0400"
"23.800","1","1.208","1","0.2320","1.6942","1.7090","0.0400"
"24.900","1","1.788","1","0.2447","1.6942","1.6957","0.0400"
"26.000","1","0.336","0","0.2559","1.6942","1.6946","-0.0211"
"27.100","1","0.780","1","0.2822","1.6942","1.7051","0.0400"
"28.200","1","1.119","0","0.2987","1.6942","1.7281","-0.0250"
"29.300","1","0.687","0","0.3136","1.6942","1.7524","-0.0250"
"30.400","1","0.683","0","0.3174","1.6942","1.7261","-0.0250"
"31.500","1","0.910","1","0.3174","1.6942","1.7149","0.0400"
"32.600","1","1.473","1","0.3250","1.6942","1.7101","0.0400"
"33.700","1","1.528","1","0.3348","1.6942","1.7389","0.0400"
"34.800","1","0.721","0","0.3509","1.6942","1.7553","-0.0250"
"35.900","1","0.805","0","0.3517","1.6942","1.7377","-0.0250"
"37.000","1","0.753","0","0.3568","1.6942","1.7288","-0.0250"
"38.100","1","0.593","0","0.3637","1.6942","1.7187","-0.0250"
"39.200","1","0.818","1","0.3757","1.6942","1.7113","0.0400"
"40.300","1","0.419","0","0.3826","1.6942","1.7025","-0.0250"
"41.400","1","0.791","0","0.3930","1.6942","1.6991","-0.0250"
"42.500","1","0.841","0","0.3976","1.6942","1.6946","-0.0250"
"43.600","1","0.589","0","0.4043","1.6942","1.6947","-0.0250"
"44.699","1","0.456","0","0.4163","1.6942","1.6946","-0.0217"
"45.799","1","0.797","0","0.4333","1.6942","1.7041","-0.0250"
"46.899","1","0.938","0","0.4421","1.6942","1.6997","-0.0250"
"47.999","1","0.941","0","0.4438","1.6942","1.6849","0.0250"
"49.099","1","0.366","0","0.4599","1.6942","1.6946","-0.0250"
"50.199","1","0.645","0","0.4804","1.6942","1.6996","-0.0250"
"51.299","1","0.173","0","0.4827","1.6942","1.6775","0.0250"
"52.399","1","0.339","0","0.4831","1.6942","1.6824","0.0250"
"53.499","1","0.227","0","0.4840","1.6942","1.6944","-0.0109"
"54.599","1","0.273","0","0.4842","1.6942","1.7092","-0.0250"
"55.699","1","0.226","0","0.4843","1.6942","1.6954","-0.0250"
"56.799","1","0.198","0","0.4843","1.6942","1.7020","-0.0250"
"57.899","1","0.999","0","0.4850","1.6942","1.7076","-0.0250"
"58.999","1","0.564","0","0.4860","1.6942","1.7019","-0.0250"
"60.099","1","0.739","1","0.4908","1.6942","1.7199","0.0400"
