"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.085","-0.183","0.799","0.085","-0.183","0.799","-1"
"0.234","0.015","3.113","0.234","0.015","3.113","-1"
"-0.068","-0.972","2.255","-0.068","-0.972","2.255","-1"
"0.737","-11.077","164.003","0.737","-11.077","164.003","-1"
"-9.358","-45.611","169.613","-9.358","-45.611","169.613","-1"
"-50.267","-129.071","1192.804","-50.267","-129.071","1192.804","-1"
"-134.792","-24.425","1866.745","-134.792","-24.425","1866.745","-1"
"134.957","13.008","1502.893","134.957","13.008","1502.893","-1"
"58.973","-36.445","1814.270","58.973","-36.445","1814.270","-1"
"-54.838","-23.794","1851.364","-54.838","-23.794","1851.364","-1"
"-17.879","24.449","2015.649","-17.879","24.449","2015.649","-1"
"146.506","26.660","1515.963","146.506","26.660","1515.963","-1"
"-3.686","61.617","1954.947","-3.686","61.617","1954.947","-1"
"-69.337","0.983","1883.348","-69.337","0.983","1883.348","-1"
"2.629","-4.986","1951.419","2.629","-4.986","1951.419","-1"
"-30.510","-0.703","1833.612","-30.510","-0.703","1833.612","-1"
"13.662","11.449","1908.566","13.662","11.449","1908.566","-1"
"-221.340","-93.526","1254.416","-221.340","-93.526","1254.416","-1"
"-116.475","155.449","1424.030","-116.475","155.449","1424.030","-1"
"-442.324","-66.965","1164.085","-442.324","-66.965","1164.085","-1"
"-115.144","-427.586","1258.885","-115.144","-427.586","1258.885","-1"
"-157.302","389.695","451.096","-157.302","389.695","451.096","-1"
"-173.998","583.576","978.207","-173.998","583.576","978.207","-1"
"-180.674","374.051","-356.195","-180.674","374.051","-356.195","-1"
"-12.419","325.966","555.663","-12.419","325.966","555.663","-1"
"16.503","303.685","1465.708","16.503","303.685","1465.708","-1"
"13.176","-18.702","2012.934","13.176","-18.702","2012.934","-1"
"-82.934","-93.772","1225.318","-82.934","-93.772","1225.318","-1"
