"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","997.364","0.0000"
"1.200","1.217","1.000","0.000","1176.064","0.0000"
"2.300","2.317","1.000","0.000","1175.999","0.0000"
"3.400","3.417","1.000","0.000","1176.004","0.0000"
"4.400","4.417","1.000","0.000","1175.999","0.0000"
"5.400","5.417","1.000","0.000","1175.927","0.0000"
"6.400","6.417","1.000","0.000","1175.253","0.0000"
"7.400","7.417","1.000","0.000","1174.382","0.0000"
"8.400","8.417","1.000","0.000","1174.144","0.0000"
"9.500","9.517","1.000","0.000","1174.088","0.0300"
"10.600","10.617","1.000","0.000","1173.021","0.0300"
"11.700","11.717","1.000","0.000","1089.847","0.0300"
"12.800","12.817","1.000","0.000","1136.935","0.0300"
"13.900","13.917","1.000","0.000","1089.256","0.0300"
"15.000","15.017","1.000","0.000","471.093","0.0300"
"16.100","16.117","1.000","0.000","416.949","0.0300"
"17.200","17.217","1.000","0.000","655.974","0.0300"
"18.300","18.317","0.000","0.000","253.679","0.0000"
"19.400","19.417","1.000","0.000","309.414","0.0300"
"20.500","20.517","1.000","0.605","150.946","0.0300"
"21.600","21.617","0.789","10.748","73.264","0.0275"
"22.700","22.717","0.000","-0.037","173.792","0.0000"
"23.800","23.817","1.000","3.564","275.793","0.0300"
"24.900","24.917","0.659","25.596","138.981","0.0205"
"26.000","26.017","0.000","52.999","0.036","0.0000"
"27.100","27.117","1.000","10.669","227.713","0.0300"
"28.200","28.217","1.000","22.580","234.387","0.0300"
"29.300","29.317","0.000","21.223","60.433","0.0000"
"30.400","30.417","1.000","19.497","423.692","0.0296"
"31.500","31.517","0.000","4.270","127.492","0.0000"
"32.600","32.617","0.000","71.449","266.263","0.0000"
"33.700","33.717","0.936","14.576","1.787","0.0286"
"34.800","34.817","0.000","11.566","129.553","0.0000"
"35.900","35.917","0.000","3.315","6.476","0.0000"
"37.000","37.017","0.000","12.168","85.587","0.0000"
"38.100","38.117","0.000","71.444","0.194","0.0000"
"39.200","39.217","0.664","39.003","91.251","0.0165"
"40.300","40.317","1.000","17.070","487.549","0.0300"
"41.400","41.417","0.000","13.601","23.154","0.0000"
"42.500","42.517","1.000","66.132","491.925","0.0300"
"43.600","43.617","0.894","35.991","344.119","0.0246"
"44.699","44.717","1.000","29.123","898.263","0.0300"
"45.799","45.817","0.875","48.491","545.748","0.0276"
"46.899","46.917","0.000","42.251","810.926","0.0000"
"47.999","48.017","0.929","3.066","882.866","0.0288"
"49.099","49.117","0.000","25.382","863.051","0.0000"
"50.199","50.217","0.000","34.050","538.762","0.0000"
"51.299","51.317","0.576","10.251","1030.924","0.0000"
"52.399","52.417","0.590","4.472","929.442","0.0000"
"53.499","53.517","0.668","1.561","871.947","0.0000"
"54.599","54.617","0.946","5.347","1005.052","0.0000"
"55.699","55.717","0.165","3.184","773.691","0.0000"
"56.799","56.817","0.171","29.439","1.599","0.0000"
"57.899","57.917","0.337","17.351","0.000","0.0000"
"58.999","59.017","0.265","-4.243","0.000","0.0000"
"60.099","60.117","0.000","6.985","227.876","0.0000"
