"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.2769","0.0212","0.0000","0.0000","1.5588","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","-0.0000","1.5301","24.99","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0207","0.0504","0.0075","0.0075","1.5301","24.24","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0221","0.0590","0.0315","0.0315","1.5302","21.83","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0223","0.0728","0.0558","0.0558","1.5333","19.18","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0684","0.0963","0.0801","0.0801","1.5266","18.27","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0222","0.1100","0.1044","0.1044","1.5456","15.52","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0241","0.1332","0.1287","0.1287","1.5459","12.77","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0486","0.1560","0.1530","0.1530","1.5495","10.02","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0227","0.1744","0.1713","0.1707","1.5471","9.54","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.0404","0.1827","0.1802","0.1795","1.5501","8.74","0"
"Helix","19.40","-10.00","-0.000","-0.000","-0.000","0.0232","0.1912","0.1903","0.1895","1.5615","6.53","0"
"Helix","20.50","-10.00","0.638","2.667","-2.243","0.0282","0.1943","0.1939","0.1930","1.5676","6.27","0"
"Helix","21.60","-10.00","10.889","11.845","6.067","0.0235","0.2035","0.2032","0.2024","1.5701","4.93","0"
"Helix","22.70","-10.00","0.036","5.271","0.295","0.0225","0.2172","0.2171","0.2164","1.5863","3.81","0"
"Helix","23.80","-10.00","3.733","6.334","2.398","0.0209","0.2348","0.2347","0.2342","1.5873","2.79","0"
"Helix","24.90","-10.00","26.080","31.216","19.270","0.0445","0.2509","0.2506","0.2499","1.5920","1.34","0"
"Helix","26.00","-10.00","54.061","72.381","2.474","0.0279","0.2738","0.2730","0.2724","1.6001","-0.22","0"
"Helix","27.10","-10.00","11.114","7.021","-8.751","0.0112","0.2753","0.2749","0.2742","1.5653","3.42","0"
"Helix","28.20","-10.00","23.848","68.724","-24.103","0.0278","0.2788","0.2783","0.2776","1.5645","2.95","0"
