"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","2.600000","2.600000","2.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","3.000000","3.000000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","8.600000","8.800000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","14.600000","15.200000","4.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","16.200000","16.800000","6.400000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","19.400000","20.400000","7.400000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","19.600000","26.200000","9.400000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","17.600000","27.600000","10.200000","4.400000","4.400000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","16.000000","27.600000","15.400000","5.000000","5.400000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","19.000000","28.800000","16.000000","4.800000","5.400000","0.400000","0.000000","0.400000","0.000000","0"
"29.30","20.200000","30.600000","16.800000","5.200000","5.800000","0.400000","0.000000","0.400000","0.400000","0"
"30.40","20.400000","34.200001","18.800000","4.600000","7.200000","0.400000","0.000000","0.400000","0.400000","0"
"31.50","18.400000","35.400001","19.800000","3.600000","8.800000","3.800000","0.200000","4.000000","0.400000","0"
"32.60","20.400000","38.400001","20.400000","4.600000","10.000000","4.800000","0.200000","5.000000","0.400000","0"
"33.70","24.400000","41.800001","22.400000","4.800000","10.400000","4.800000","0.200000","5.000000","0.400000","0"
"34.80","23.000000","44.200001","24.200000","4.600000","10.600000","4.800000","0.200000","5.400000","0.400000","0"
"35.90","20.200000","44.800001","24.600000","5.600000","13.600000","5.200000","0.200000","5.400000","0.400000","0"
"37.00","22.800000","47.400001","26.400000","4.200000","13.600000","6.800000","0.200000","7.000000","0.400000","0"
"38.10","22.400000","49.000001","27.200000","4.000000","14.800000","7.600000","0.200000","8.000000","0.400000","0"
"39.20","25.000000","52.800001","28.600000","6.800000","18.000000","7.800000","0.200000","9.000000","0.400000","0"
"40.30","24.600000","54.200001","30.800000","8.800000","22.200000","8.800000","0.200000","9.000000","3.600000","0"
"41.40","25.000000","55.400001","33.400000","9.000000","23.000000","11.000000","0.200000","11.200000","3.800000","0"
"42.50","28.600000","59.000001","36.000001","10.200000","24.200000","11.200000","0.200000","11.400000","3.800000","0"
"43.60","30.000000","63.200001","39.200001","9.000000","24.600000","11.200000","0.200000","12.200000","4.800000","0"
"44.70","28.400000","66.000001","40.800001","10.200000","29.000000","15.200000","0.200000","15.600000","4.800000","0"
"45.80","22.800000","66.800001","43.400001","9.600000","31.800000","16.400000","0.200000","17.000000","4.800000","0"
"46.90","22.800000","69.800001","46.200001","8.800000","32.200000","18.600000","0.200000","19.200000","4.800000","0"
"48.00","27.400000","71.800001","48.800001","8.600000","33.400000","19.400000","0.200000","20.000000","5.000000","0"
"49.10","26.200000","72.400001","49.600001","8.600000","34.400001","19.400000","0.200000","20.000000","5.600000","0"
"50.20","27.200000","73.000001","50.400001","5.400000","35.000001","20.600000","0.200000","21.800000","5.600000","0"
"51.30","25.800000","73.200001","50.600001","3.400000","35.200001","23.600000","0.200000","24.600000","6.600000","0"
"52.40","24.400000","73.400001","51.600001","3.000000","36.000001","25.800000","0.200000","26.400000","7.200000","0"
"53.50","24.000000","73.600001","51.600001","3.400000","36.600001","25.800000","0.200000","27.000000","7.600000","0"
"54.60","23.200000","74.000001","52.200001","3.200000","37.200001","26.600000","0.400000","27.200000","7.600000","0"
"55.70","22.200000","74.600001","52.400001","2.400000","37.200001","27.600000","0.400000","28.200000","8.000000","0"
"56.80","18.600000","75.200001","52.800001","2.600000","37.800001","28.200000","0.400000","29.000000","8.000000","0"
"57.90","21.000000","76.400001","54.200001","3.000000","38.400001","28.400000","0.400000","29.000000","8.000000","0"
"59.00","26.600000","77.600001","55.200001","2.400000","38.400001","28.600000","0.400000","29.200000","8.800000","0"
"60.10","28.600000","82.800001","56.400001","2.000000","39.000001","29.000000","0.400000","30.400000","13.600000","0"
