"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9730","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9397","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9122","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.8942","0.0001"
"4.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"5.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"6.400","1","0.000","0","-0.0000","1.8942","1.8942","0.0000"
"7.400","1","0.000","0","-0.0000","1.8942","1.8942","-0.0001"
"8.400","1","0.000","0","-0.0000","1.8942","1.8942","-0.0001"
"9.500","1","0.000","0","0.0075","1.8867","1.8871","-0.0205"
"10.600","1","0.002","0","0.0315","1.8627","1.8630","-0.0223"
"11.700","1","0.012","0","0.0558","1.8384","1.8397","-0.0250"
"12.800","1","0.026","0","0.0804","1.8139","1.8377","-0.0250"
"13.900","1","0.081","0","0.1053","1.7889","1.8392","-0.0250"
"15.000","1","0.187","0","0.1296","1.7646","1.8167","-0.0250"
"16.100","1","0.341","0","0.1541","1.7401","1.7783","-0.0250"
"17.200","1","0.432","0","0.1719","1.7223","1.7813","-0.0250"
"18.300","1","0.580","1","0.1807","1.7135","1.7674","0.0400"
"19.400","1","0.229","0","0.1913","1.7030","1.7569","-0.0250"
"20.500","1","0.440","0","0.1948","1.6994","1.7452","-0.0250"
"21.600","1","0.663","0","0.2042","1.6942","1.7341","-0.0250"
"22.700","1","1.057","1","0.2181","1.6942","1.7226","0.0400"
"23.800","1","0.347","0","0.2358","1.6942","1.7107","-0.0250"
"24.900","1","0.702","0","0.2515","1.6942","1.7194","-0.0250"
"26.000","1","1.044","0","0.2740","1.6942","1.7186","-0.0250"
"27.100","1","0.576","0","0.2749","1.6942","1.7362","-0.0250"
"28.200","1","0.391","0","0.2783","1.6942","1.7096","-0.0250"
"29.300","1","0.977","0","0.2821","1.6942","1.7070","-0.0250"
"30.400","1","0.571","0","0.2830","1.6942","1.7081","-0.0250"
"31.500","1","0.819","1","0.2997","1.6942","1.7297","0.0400"
"32.600","1","0.863","1","0.3188","1.6942","1.7048","0.0400"
"33.700","1","0.619","0","0.3345","1.6942","1.7005","-0.0250"
"34.800","1","0.848","1","0.3527","1.6942","1.7153","0.0400"
"35.900","1","1.053","1","0.3715","1.6942","1.7162","0.0400"
"37.000","1","1.094","1","0.3875","1.6942","1.7044","0.0400"
"38.100","1","1.255","1","0.3885","1.6942","1.7019","0.0400"
"39.200","1","0.701","0","0.3909","1.6942","1.6931","0.0250"
"40.300","1","0.554","0","0.4039","1.6942","1.6946","-0.0224"
"41.400","1","1.080","0","0.4199","1.6942","1.6948","-0.0250"
"42.500","1","0.503","0","0.4296","1.6942","1.6915","0.0250"
"43.600","1","0.632","0","0.4408","1.6942","1.6936","0.0250"
"44.699","1","0.548","0","0.4586","1.6942","1.6915","0.0250"
"45.799","1","0.637","0","0.4831","1.6942","1.7051","-0.0250"
"46.899","1","0.937","1","0.4635","1.6942","1.7094","0.0400"
"47.999","1","0.621","0","0.4671","1.6942","1.6942","-0.0009"
"49.099","1","1.020","0","0.4796","1.6942","1.6971","-0.0250"
"50.199","1","0.962","0","0.4798","1.6942","1.6858","0.0250"
"51.299","1","0.727","0","0.4798","1.6942","1.6946","-0.0250"
"52.399","1","0.723","0","0.4798","1.6942","1.6945","-0.0206"
"53.499","1","0.700","0","0.4798","1.6942","1.6907","0.0250"
"54.599","1","0.616","0","0.4799","1.6942","1.6942","-0.0025"
"55.699","1","0.850","0","0.4801","1.6942","1.7006","-0.0250"
"56.799","1","0.849","0","0.4849","1.6942","1.7029","-0.0250"
"57.899","1","0.799","0","0.4884","1.6942","1.6978","-0.0250"
"58.999","1","0.820","0","0.4908","1.6942","1.6750","0.0250"
"60.099","1","0.867","1","0.4971","1.6942","1.6580","0.0400"
