"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.085","-0.183","0.799","0.085","-0.183","0.799","-1"
"0.235","0.015","3.114","0.235","0.015","3.114","-1"
"-0.067","-0.972","2.259","-0.067","-0.972","2.259","-1"
"0.740","-11.065","164.010","0.740","-11.065","164.010","-1"
"-9.415","-46.333","169.002","-9.415","-46.333","169.002","-1"
"-74.437","-87.575","1152.016","-74.437","-87.575","1152.016","-1"
"-63.982","-189.813","1406.573","-63.982","-189.813","1406.573","-1"
"55.289","-113.131","1371.728","55.289","-113.131","1371.728","-1"
"1.157","-168.715","1614.231","1.157","-168.715","1614.231","-1"
"77.152","-2.702","1297.532","77.152","-2.702","1297.532","-1"
"50.784","-31.501","838.030","50.784","-31.501","838.030","-1"
"127.461","9.144","1040.242","127.461","9.144","1040.242","-1"
"152.980","-39.498","903.361","152.980","-39.498","903.361","-1"
"68.138","-21.090","771.911","68.138","-21.090","771.911","-1"
"142.552","-48.940","1144.124","142.552","-48.940","1144.124","-1"
"113.208","-102.496","1067.391","113.208","-102.496","1067.391","-1"
"95.313","-44.427","1096.222","95.313","-44.427","1096.222","-1"
"59.769","-31.149","1422.974","59.769","-31.149","1422.974","-1"
"0.769","-119.719","466.057","0.769","-119.719","466.057","-1"
"114.888","-49.853","1406.233","114.888","-49.853","1406.233","-1"
"18.453","1.019","629.517","18.453","1.019","629.517","-1"
"6.308","-21.443","519.418","6.308","-21.443","519.418","-1"
"29.256","-59.032","437.343","29.256","-59.032","437.343","-1"
"125.083","-18.907","921.157","125.083","-18.907","921.157","-1"
"34.090","-116.652","802.120","34.090","-116.652","802.120","-1"
"104.063","-98.211","702.428","104.063","-98.211","702.428","-1"
"30.260","-97.716","353.265","30.260","-97.716","353.265","-1"
"77.398","-105.196","311.792","77.398","-105.196","311.792","-1"
