"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","997.364","0.0000"
"1.200","1.217","1.000","0.000","1176.064","0.0000"
"2.300","2.317","1.000","0.000","1175.999","0.0000"
"3.400","3.417","1.000","0.000","1176.004","0.0000"
"4.400","4.417","1.000","0.000","1175.999","0.0000"
"5.400","5.417","1.000","0.000","1175.927","0.0000"
"6.400","6.417","1.000","0.000","1175.253","0.0000"
"7.400","7.417","1.000","0.000","1174.382","0.0000"
"8.400","8.417","1.000","0.000","1174.143","0.0000"
"9.500","9.517","1.000","0.000","1174.086","0.0300"
"10.600","10.617","1.000","0.000","1173.019","0.0300"
"11.700","11.717","1.000","0.000","1089.834","0.0300"
"12.800","12.817","1.000","0.000","1136.932","0.0300"
"13.900","13.917","1.000","0.000","1089.415","0.0300"
"15.000","15.017","1.000","0.000","572.414","0.0300"
"16.100","16.117","1.000","0.000","437.513","0.0300"
"17.200","17.217","0.000","0.000","434.654","0.0000"
"18.300","18.317","1.000","0.000","252.375","0.0000"
"19.400","19.417","0.000","-4.564","207.180","0.0000"
"20.500","20.517","1.000","-2.178","317.815","0.0000"
"21.600","21.617","0.860","-1.720","197.842","0.0000"
"22.700","22.717","0.000","-0.006","108.246","0.0000"
"23.800","23.817","1.000","1.928","697.251","0.0000"
"24.900","24.917","1.000","2.730","778.669","0.0000"
"26.000","26.017","1.000","-1.375","660.172","0.0000"
"27.100","27.117","1.000","-2.381","728.868","0.0000"
"28.200","28.217","1.000","-0.297","368.003","0.0000"
"29.300","29.317","1.000","-1.210","556.662","0.0000"
"30.400","30.417","1.000","-2.634","641.141","0.0000"
"31.500","31.517","1.000","-2.072","738.656","0.0000"
"32.600","32.617","1.000","-2.833","700.434","0.0000"
"33.700","33.717","1.000","-3.416","712.051","0.0000"
"34.800","34.817","1.000","-0.188","501.754","0.0000"
"35.900","35.917","1.000","4.331","531.117","0.0000"
"37.000","37.017","1.000","0.479","805.402","0.0000"
"38.100","38.117","1.000","-2.791","512.617","0.0000"
"39.200","39.217","1.000","-2.024","696.234","0.0000"
"40.300","40.317","1.000","-1.881","571.049","0.0000"
"41.400","41.417","1.000","1.922","620.605","0.0000"
"42.500","42.517","1.000","-0.888","849.588","0.0000"
"43.600","43.617","1.000","0.978","599.790","0.0000"
"44.699","44.717","1.000","-4.235","622.760","0.0000"
"45.799","45.817","1.000","-6.392","895.547","0.0000"
"46.899","46.917","1.000","0.704","730.986","0.0000"
"47.999","48.017","1.000","-5.766","919.124","0.0000"
"49.099","49.117","1.000","-3.953","978.394","0.0000"
"50.199","50.217","1.000","2.854","777.767","0.0000"
"51.299","51.317","1.000","5.133","899.461","0.0000"
"52.399","52.417","1.000","1.994","367.780","0.0000"
"53.499","53.517","1.000","-3.680","739.980","0.0000"
"54.599","54.617","1.000","-2.357","778.244","0.0000"
"55.699","55.717","1.000","-1.432","780.857","0.0000"
"56.799","56.817","1.000","-0.626","904.398","0.0000"
"57.899","57.917","1.000","0.202","979.072","0.0000"
"58.999","59.017","1.000","-0.033","967.205","0.0000"
"60.099","60.117","1.000","0.236","991.048","0.0000"
