"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.2769","0.0212","0.0000","0.0000","1.5588","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0499","0.0000","0.0000","1.5301","24.99","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0207","0.0504","0.0075","0.0075","1.5301","24.24","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0221","0.0590","0.0315","0.0315","1.5302","21.83","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0223","0.0728","0.0558","0.0558","1.5333","19.18","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0684","0.0963","0.0801","0.0801","1.5266","18.27","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0222","0.1100","0.1044","0.1044","1.5456","15.52","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0285","0.1316","0.1287","0.1287","1.5527","12.77","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0530","0.1542","0.1530","0.1530","1.5609","10.02","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0307","0.1670","0.1630","0.1627","1.5436","9.87","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.0318","0.1780","0.1770","0.1767","1.5614","7.82","0"
"Helix","19.40","-10.00","-4.446","4.302","3.287","0.0284","0.1792","0.1771","0.1768","1.5529","7.82","0"
"Helix","20.50","-10.00","-2.217","-1.830","3.758","0.0017","0.1781","0.1771","0.1768","1.5611","7.82","0"
"Helix","21.60","-10.00","-1.764","-1.507","1.635","0.0040","0.1790","0.1771","0.1768","1.5539","7.82","0"
"Helix","22.70","-10.00","0.030","2.486","0.648","0.0172","0.1819","0.1784","0.1779","1.5446","7.82","0"
"Helix","23.80","-10.00","2.048","3.055","-1.482","0.0301","0.1822","0.1803","0.1796","1.5540","7.82","0"
"Helix","24.90","-10.00","2.727","0.877","0.958","0.0308","0.1828","0.1803","0.1796","1.5496","7.82","0"
"Helix","26.00","-10.00","-1.382","0.122","0.439","0.0049","0.1832","0.1803","0.1796","1.5477","7.82","0"
"Helix","27.10","-10.00","-2.401","-0.754","-0.290","0.0082","0.1821","0.1803","0.1796","1.5544","7.82","0"
"Helix","28.20","-10.00","-0.305","-0.220","0.228","0.0061","0.1831","0.1803","0.1796","1.5482","7.82","0"
