"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.200000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","0.800000","1.200000","0.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","6.800000","6.800000","1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","5.800000","7.000000","2.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","6.800000","7.600000","3.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","4.400000","8.200000","3.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","4.600000","8.600000","4.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","5.200000","9.400000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","6.800000","10.000000","5.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","8.000000","10.200000","5.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","11.000000","11.200000","6.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"29.30","11.600000","12.000000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"30.40","11.600000","12.000000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"31.50","10.200000","12.800000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"32.60","13.200000","13.800000","8.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"33.70","13.800000","14.600000","8.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"34.80","10.800000","15.200000","9.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"35.90","10.400000","15.600000","9.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"37.00","11.600000","16.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"38.10","14.200000","16.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"39.20","15.000000","16.600000","10.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"40.30","14.600000","16.800000","11.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"41.40","17.000000","18.400000","11.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"42.50","15.800000","19.000000","11.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"43.60","13.400000","19.000000","12.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"44.70","11.800000","19.000000","12.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"45.80","15.600000","19.200000","12.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"46.90","15.400000","20.000000","13.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"48.00","15.400000","20.000000","13.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"49.10","15.200000","20.400000","13.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"50.20","15.200000","20.800000","13.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"51.30","11.400000","21.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"52.40","8.800000","21.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"53.50","10.600000","21.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"54.60","11.000000","21.000000","14.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"55.70","15.000000","21.400000","14.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"56.80","14.800000","21.600000","14.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"57.90","14.400000","21.800000","14.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"59.00","14.800000","22.000000","14.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"60.10","15.000000","22.200000","14.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
