"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9730","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9397","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9122","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.8942","0.0001"
"4.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"5.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"6.400","1","0.000","0","0.0000","1.8942","1.8942","0.0000"
"7.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"8.400","1","0.000","0","0.0000","1.8942","1.8942","-0.0001"
"9.500","1","0.000","0","0.0075","1.8867","1.8871","-0.0205"
"10.600","1","0.002","0","0.0315","1.8627","1.8630","-0.0223"
"11.700","1","0.012","0","0.0558","1.8384","1.8397","-0.0250"
"12.800","1","0.026","0","0.0804","1.8139","1.8377","-0.0250"
"13.900","1","0.080","0","0.1053","1.7889","1.8392","-0.0250"
"15.000","1","0.113","0","0.1299","1.7643","1.8272","-0.0250"
"16.100","1","0.263","0","0.1547","1.7395","1.8206","-0.0250"
"17.200","1","0.729","1","0.1636","1.7306","1.7833","0.0400"
"18.300","1","0.600","0","0.1778","1.7164","1.7566","0.0000"
"19.400","1","0.950","0","0.1778","1.7164","1.7416","0.0000"
"20.500","1","0.365","0","0.1778","1.7164","1.7531","0.0000"
"21.600","1","0.642","0","0.1778","1.7164","1.7502","0.0000"
"22.700","1","0.995","0","0.1778","1.7164","1.7596","0.0000"
"23.800","1","0.148","0","0.1778","1.7164","1.7623","0.0000"
"24.900","1","0.121","0","0.1778","1.7164","1.7609","0.0000"
"26.000","1","0.133","0","0.1778","1.7164","1.7533","0.0000"
"27.100","1","0.077","0","0.1778","1.7164","1.7544","0.0000"
"28.200","1","0.327","0","0.1778","1.7164","1.7459","0.0000"
"29.300","1","0.224","0","0.1778","1.7164","1.7452","0.0000"
"30.400","1","0.262","0","0.1778","1.7164","1.7418","0.0000"
"31.500","1","0.241","0","0.1778","1.7164","1.7517","0.0000"
"32.600","1","0.134","0","0.1778","1.7164","1.7401","0.0000"
"33.700","1","0.157","0","0.1778","1.7164","1.7393","0.0000"
"34.800","1","0.239","0","0.1778","1.7164","1.7534","0.0000"
"35.900","1","0.283","0","0.1778","1.7164","1.7596","0.0000"
"37.000","1","0.146","0","0.1778","1.7164","1.7540","0.0000"
"38.100","1","0.208","0","0.1778","1.7164","1.7454","0.0000"
"39.200","1","0.112","0","0.1778","1.7164","1.7443","0.0000"
"40.300","1","0.094","0","0.1778","1.7164","1.7468","0.0000"
"41.400","1","0.160","0","0.1778","1.7164","1.7220","0.0000"
"42.500","1","0.172","0","0.1778","1.7164","1.7404","0.0000"
"43.600","1","0.113","0","0.1778","1.7164","1.7499","0.0000"
"44.699","1","0.134","0","0.1778","1.7164","1.7551","0.0000"
"45.799","1","0.054","0","0.1778","1.7164","1.7396","0.0000"
"46.899","1","0.072","0","0.1778","1.7164","1.7287","0.0000"
"47.999","1","0.045","0","0.1778","1.7164","1.7380","0.0000"
"49.099","1","0.077","0","0.1778","1.7164","1.7342","0.0000"
"50.199","1","0.147","0","0.1778","1.7164","1.7261","0.0000"
"51.299","1","0.159","0","0.1778","1.7164","1.7618","0.0000"
"52.399","1","0.269","0","0.1778","1.7164","1.7745","0.0000"
"53.499","1","0.160","0","0.1778","1.7164","1.7563","0.0000"
"54.599","1","0.180","0","0.1778","1.7164","1.7549","0.0000"
"55.699","1","0.141","0","0.1778","1.7164","1.7343","0.0000"
"56.799","1","0.144","0","0.1778","1.7164","1.7326","0.0000"
"57.899","1","0.128","0","0.1778","1.7164","1.7333","0.0000"
"58.999","1","0.205","0","0.1778","1.7164","1.7303","0.0000"
"60.099","1","0.204","0","0.1778","1.7164","1.7309","0.0000"
