"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.165","0.578","4.721","0.165","0.578","4.721","-1"
"0.403","0.263","4.569","0.403","0.263","4.569","-1"
"1.993","3.495","9.806","1.993","3.495","9.806","-1"
"0.456","3.681","11.032","0.456","3.681","11.032","-1"
"-4.118","-27.555","61.844","-4.118","-27.555","61.844","-1"
"187.294","-103.284","813.898","187.294","-103.284","813.898","-1"
"-143.185","-59.547","505.171","-143.185","-59.547","505.171","-1"
"-155.890","-153.135","1346.859","-155.890","-153.135","1346.859","-1"
"-71.848","-14.482","622.104","-71.848","-14.482","622.104","-1"
"-288.006","-207.438","615.400","-288.006","-207.438","615.400","-1"
"-130.611","-188.456","2518.250","-130.611","-188.456","2518.250","-1"
"-40.557","-134.859","2318.297","-40.557","-134.859","2318.297","-1"
"-186.002","-181.622","2277.152","-186.002","-181.622","2277.152","-1"
"-46.916","-33.734","2045.827","-46.916","-33.734","2045.827","-1"
"-280.994","217.205","1017.196","-280.994","217.205","1017.196","-1"
"-275.628","391.041","1399.970","-275.628","391.041","1399.970","-1"
"162.952","-62.488","3066.756","162.952","-62.488","3066.756","-1"
"163.052","38.303","2779.035","163.052","38.303","2779.035","-1"
"39.382","-19.519","3003.124","39.382","-19.519","3003.124","-1"
"107.735","-322.984","2106.417","107.735","-322.984","2106.417","-1"
"-20.183","16.579","2531.963","-20.183","16.579","2531.963","-1"
"-14.876","1.273","2902.483","-14.876","1.273","2902.483","-1"
"-93.220","23.183","2880.254","-93.220","23.183","2880.254","-1"
"-203.779","373.785","1111.543","-203.779","373.785","1111.543","-1"
"33.252","264.013","2072.080","33.252","264.013","2072.080","-1"
"52.693","292.875","2405.333","52.693","292.875","2405.333","-1"
"-32.814","223.047","1293.411","-32.814","223.047","1293.411","-1"
"257.151","125.316","613.979","257.151","125.316","613.979","-1"
"-88.063","176.925","1883.380","-88.063","176.925","1883.380","-1"
