"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","1411.368","0.0000"
"1.200","1.217","1.000","0.000","1764.183","0.0000"
"2.300","2.317","1.000","0.000","1706.303","0.0000"
"3.400","3.417","1.000","0.000","1763.993","0.0000"
"4.400","4.417","1.000","0.000","1778.090","0.0000"
"5.400","5.417","1.000","0.000","1684.662","0.0000"
"6.400","6.417","1.000","0.000","1755.905","0.0000"
"7.400","7.417","1.000","0.000","1697.540","0.0000"
"8.400","8.417","1.000","0.000","1716.675","0.0000"
"9.500","9.517","1.000","0.000","1687.008","0.0300"
"10.600","10.617","1.000","0.000","1692.644","0.0300"
"11.700","11.717","1.000","0.000","1717.208","0.0300"
"12.800","12.817","1.000","0.000","1686.094","0.0300"
"13.900","13.917","1.000","0.000","1064.032","0.0300"
"15.000","15.017","1.000","0.000","1672.912","0.0300"
"16.100","16.117","1.000","0.000","1324.222","0.0300"
"17.200","17.217","1.000","0.000","1272.113","0.0300"
"18.300","18.317","1.000","0.000","1228.883","0.0300"
"19.400","19.417","1.000","0.000","1135.180","0.0300"
"20.500","20.517","1.000","0.000","1526.078","0.0300"
"21.600","21.617","1.000","-0.001","1366.573","0.0300"
"22.700","22.717","1.000","0.000","1006.411","0.0300"
"23.800","23.817","1.000","0.000","276.950","0.0300"
"24.900","24.917","0.000","10.437","27.306","0.0000"
"26.000","26.017","1.000","27.260","431.131","0.0300"
"27.100","27.117","0.000","43.714","38.351","0.0000"
"28.200","28.217","1.000","30.665","257.908","0.0300"
"29.300","29.317","0.794","5.976","215.062","0.0232"
"30.400","30.417","1.000","29.091","571.290","0.0300"
"31.500","31.517","1.000","34.058","775.191","0.0300"
"32.600","32.617","1.000","38.646","1087.325","0.0300"
"33.700","33.717","1.000","18.765","1191.870","0.0300"
"34.800","34.817","1.000","15.439","279.515","0.0300"
"35.900","35.917","1.000","24.217","242.429","0.0300"
"37.000","37.017","1.000","0.049","0.030","0.0300"
"38.100","38.117","0.000","0.037","255.645","0.0000"
"39.200","39.217","1.000","2.524","9.753","0.0300"
"40.300","40.317","0.000","5.272","69.696","0.0000"
"41.400","41.417","0.000","20.651","62.332","0.0000"
"42.500","42.517","1.000","0.458","417.031","0.0300"
"43.600","43.617","0.994","7.758","182.677","0.0300"
"44.699","44.717","0.047","6.580","71.496","0.0041"
"45.799","45.817","0.000","0.841","0.009","0.0000"
"46.899","46.917","0.000","0.198","311.657","0.0000"
"47.999","48.017","0.000","32.457","137.785","0.0000"
"49.099","49.117","1.000","6.190","534.439","0.0300"
"50.199","50.217","1.000","20.907","1104.208","0.0000"
"51.299","51.317","1.000","44.284","979.483","0.0000"
"52.399","52.417","1.000","5.072","618.390","0.0000"
"53.499","53.517","1.000","6.375","448.466","0.0000"
"54.599","54.617","1.000","5.888","503.542","0.0000"
"55.699","55.717","1.000","15.366","720.057","0.0000"
"56.799","56.817","1.000","36.062","1139.564","0.0000"
"57.899","57.917","1.000","32.852","1704.052","0.0000"
"58.999","59.017","1.000","17.463","1319.513","0.0000"
"60.099","60.117","1.000","1.165","912.895","0.0000"
