"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.3452","0.0239","0.0000","0.0000","1.5561","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0711","0.0000","0.0000","1.5089","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0113","0.0217","0.0000","0.0000","1.5583","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0211","0.0000","0.0000","1.5589","24.00","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.1216","0.0308","0.0000","-0.0000","1.5492","23.83","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.1044","0.0479","0.0000","-0.0000","1.5321","23.67","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0004","0.0461","0.0000","-0.0000","1.5339","24.05","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0345","0.0233","0.0000","-0.0000","1.5567","25.00","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0549","0.0251","0.0000","-0.0000","1.5549","25.04","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0623","0.0400","0.0075","0.0075","1.5407","23.79","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0908","0.0583","0.0315","0.0315","1.5310","21.04","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0231","0.0722","0.0558","0.0558","1.5343","19.98","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0058","0.0625","0.0457","0.0457","1.5374","17.23","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0235","0.0959","0.0670","0.0670","1.5113","16.17","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0305","0.0794","0.0649","0.0648","1.5343","16.96","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0892","0.1003","0.0890","0.0890","1.5339","15.59","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0230","0.1377","0.1133","0.1133","1.5017","15.87","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.1170","0.1406","0.1305","0.1304","1.5275","13.12","0"
"Helix","19.40","-10.00","-0.000","-0.000","-0.000","0.0215","0.0901","0.0826","0.0822","1.5440","10.37","0"
"Helix","20.50","-10.00","-0.000","-0.000","-0.000","0.0260","0.1166","0.1064","0.1062","1.5324","11.70","0"
"Helix","21.60","-10.00","-0.001","0.006","0.001","0.0294","0.1424","0.1306","0.1305","1.5232","12.60","0"
"Helix","22.70","-10.00","-0.000","-0.000","-0.000","0.0274","0.1607","0.1548","0.1547","1.5370","9.99","0"
"Helix","23.80","-10.00","0.000","0.000","0.000","0.0308","0.1814","0.1791","0.1790","1.5511","7.24","0"
"Helix","24.90","-10.00","10.836","10.528","-4.508","0.0186","0.1917","0.1915","0.1913","1.5719","4.49","0"
"Helix","26.00","-10.00","28.194","27.621","-2.049","0.0250","0.2026","0.2013","0.2009","1.5571","4.56","0"
"Helix","27.10","-10.00","45.056","38.960","-22.682","0.0391","0.2266","0.2264","0.2257","1.5706","1.81","0"
"Helix","28.20","-10.00","31.448","22.861","1.846","0.0205","0.2404","0.2389","0.2382","1.5532","2.96","0"
"Helix","29.30","-10.00","6.148","5.052","0.076","0.0162","0.2592","0.2587","0.2578","1.5647","1.63","0"
"Helix","30.40","-10.00","30.637","45.794","-23.075","0.0225","0.2826","0.2812","0.2802","1.5519","2.81","0"
"Helix","31.50","-10.00","35.518","43.133","-5.597","0.0281","0.3075","0.3055","0.3045","1.5445","3.55","0"
"Helix","32.60","-10.00","39.518","30.965","-24.575","0.0223","0.3337","0.3297","0.3288","1.5284","5.08","0"
"Helix","33.70","-10.00","19.546","27.667","9.530","0.0236","0.3573","0.3540","0.3531","1.5319","4.22","0"
"Helix","34.80","-10.00","15.620","12.381","4.121","0.0238","0.3531","0.3518","0.3512","1.5499","1.47","0"
"Helix","35.90","-10.00","24.715","21.715","1.262","0.0398","0.3618","0.3595","0.3587","1.5394","2.08","0"
