"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","0.200000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","0.000000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","0.000000","0.600000","0.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","0.000000","0.600000","0.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","4.400000","5.000000","2.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","11.000000","11.400000","3.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","14.000000","14.400000","5.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","13.800000","16.400000","6.800000","1.200000","1.200000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","19.000000","22.600000","9.600000","1.600000","1.600000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","26.200000","31.000000","11.400000","3.200000","3.200000","0.000000","0.000000","0.000000","0.000000","0"
"29.30","26.400000","34.800001","13.200000","3.800000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"30.40","27.400000","39.600001","17.200000","5.600000","7.200000","0.800000","0.000000","0.800000","0.000000","0"
"31.50","29.800000","44.400001","21.000000","5.200000","8.400000","1.800000","0.000000","1.800000","0.000000","0"
"32.60","27.800000","47.000001","23.600000","7.000000","11.600000","2.400000","0.000000","2.400000","0.800000","0"
"33.70","30.000000","52.000001","26.400000","4.400000","11.800000","3.800000","0.000000","4.200000","0.800000","0"
"34.80","23.200000","53.400001","28.000000","5.800000","13.400000","5.600000","0.000000","6.000000","0.800000","0"
"35.90","18.800000","54.000001","32.200000","2.400000","13.600000","7.000000","0.000000","7.600000","0.800000","0"
"37.00","13.800000","54.000001","34.200001","2.200000","13.800000","9.600000","0.000000","10.000000","0.800000","0"
"38.10","13.400000","54.400001","34.600001","0.200000","13.800000","10.000000","0.000000","11.200000","0.800000","0"
"39.20","12.800000","54.400001","34.800001","0.000000","13.800000","11.400000","0.000000","11.800000","0.800000","0"
"40.30","12.800000","54.400001","34.800001","0.200000","14.000000","11.400000","0.000000","11.800000","0.800000","0"
"41.40","21.000000","56.000001","35.000001","0.200000","14.000000","11.400000","0.200000","11.800000","0.800000","0"
"42.50","25.000000","57.800001","38.200001","0.400000","14.400000","11.400000","0.200000","11.800000","0.800000","0"
"43.60","27.200000","60.400001","38.200001","0.400000","14.400000","11.400000","0.200000","11.800000","0.800000","0"
"44.70","26.600000","61.200001","38.800001","0.600000","14.600000","11.400000","0.200000","11.800000","0.800000","0"
"45.80","18.000000","61.600001","39.400001","3.000000","17.000000","11.400000","0.200000","11.800000","0.800000","0"
"46.90","18.600000","62.000001","40.600001","2.800000","17.400000","11.600000","0.200000","12.200000","1.000000","0"
"48.00","25.200000","65.000001","41.400001","3.600000","18.200000","11.800000","0.200000","12.200000","1.000000","0"
"49.10","30.600000","68.000001","44.800001","3.200000","18.400000","11.800000","0.200000","12.200000","1.000000","0"
"50.20","32.000000","69.600001","46.000001","0.400000","18.400000","14.200000","0.200000","14.600000","3.600000","0"
"51.30","29.600000","69.800001","46.800001","0.000000","18.400000","14.400000","0.200000","14.800000","8.400000","0"
"52.40","30.000000","70.200001","49.000001","0.000000","18.400000","14.400000","0.200000","14.800000","8.800000","0"
"53.50","30.000000","71.400001","49.000001","0.000000","18.600000","14.400000","0.200000","14.800000","8.800000","0"
"54.60","25.600000","72.200001","49.600001","3.600000","22.000000","14.400000","0.200000","14.800000","8.800000","0"
"55.70","27.200000","73.200001","50.000001","5.800000","25.600000","14.400000","0.200000","14.800000","8.800000","0"
"56.80","33.200000","79.000001","51.400001","5.800000","25.800000","14.400000","0.200000","14.800000","10.000000","0"
"57.90","26.800000","82.200001","52.600001","6.400000","26.600000","14.400000","0.200000","14.800000","13.600000","0"
"59.00","16.400000","82.200001","54.400001","4.000000","27.200000","15.600000","0.200000","16.000000","13.600000","0"
"60.10","11.600000","82.200001","54.800001","3.200000","29.000000","18.200000","0.200000","18.600000","13.600000","0"
