"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.292","0.00","0.00","60000.000894","0.000000000","7740.000115","0.000000","0","0","0.000000","0.000","-1"
"1.20","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"2.30","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7820.000117","0.000000","0","0","0.000000","0.000","-1"
"3.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"5.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7965.000119","0.000000","0","0","0.000000","0.000","-1"
"6.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8001.800119","0.000000","0","0","0.000000","0.000","-1"
"7.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7845.800117","0.000000","0","0","0.000000","0.000","-1"
"8.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7782.600116","0.000000","0","0","0.000000","0.000","-1"
"9.50","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8187.800122","0.000000","0","0","0.000000","0.000","-1"
"10.60","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8840.000132","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8933.800133","0.000000","0","0","0.000000","0.000","-1"
"12.80","45.00","0.300","0.01","0.00","60000.000894","0.000000000","9318.600139","0.000000","0","0","0.000000","0.000","-1"
"13.90","45.00","0.300","0.60","0.00","60000.000894","0.000000000","9641.400144","0.000000","0","0","0.000000","0.000","-1"
"15.00","45.00","0.300","0.06","0.00","60000.000894","0.000000000","9280.800138","0.000000","0","0","0.000000","0.000","-1"
"16.10","45.00","0.300","0.71","0.00","60000.000894","0.000000000","9129.200136","0.000000","0","0","0.000000","0.000","-1"
"17.20","45.00","0.279","55.54","0.00","60000.000894","0.000000000","9908.400148","0.000000","0","0","0.000000","0.003","46"
"18.30","45.00","0.283","25.16","0.00","60000.000894","0.000000000","10671.000159","0.000000","0","0","0.000000","0.000","-1"
"19.40","45.00","0.285","41.44","0.00","60000.000894","0.000000000","10056.600150","0.000000","0","0","0.000000","0.000","-1"
