"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9703","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9185","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9404","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.9135","-0.0250"
"4.400","1","0.000","0","-0.0000","1.8942","1.9022","-0.0250"
"5.400","1","0.000","0","-0.0000","1.8942","1.8846","0.0250"
"6.400","1","0.000","0","0.0001","1.8942","1.8939","0.0146"
"7.400","1","0.000","0","-0.0000","1.8942","1.9212","-0.0250"
"8.400","1","0.000","0","-0.0002","1.8942","1.9166","-0.0250"
"9.500","1","0.000","0","0.0074","1.8868","1.9037","-0.0250"
"10.600","1","0.000","0","0.0310","1.8632","1.8830","-0.0250"
"11.700","1","0.000","0","0.0550","1.8392","1.8628","-0.0250"
"12.800","1","0.000","0","0.0450","1.8492","1.8646","-0.0250"
"13.900","1","0.000","0","0.0645","1.8298","1.8279","0.0250"
"15.000","1","0.000","0","0.0632","1.8310","1.8435","-0.0250"
"16.100","1","0.000","0","0.0876","1.8066","1.8023","0.0250"
"17.200","1","0.000","0","0.1120","1.7823","1.7984","-0.0250"
"18.300","1","0.001","0","0.1310","1.7632","1.8284","-0.0250"
"19.400","1","0.002","0","0.0846","1.8096","1.8129","-0.0250"
"20.500","1","0.000","0","0.1081","1.7861","1.7815","0.0250"
"21.600","1","0.025","0","0.1321","1.7621","1.7649","-0.0250"
"22.700","1","0.053","0","0.1564","1.7378","1.7517","-0.0250"
"23.800","1","0.160","0","0.1807","1.7135","1.7419","-0.0250"
"24.900","1","2.200","0","0.1938","1.7004","1.7373","-0.0250"
"26.000","1","0.068","0","0.2035","1.6942","1.7173","-0.0250"
"27.100","1","3.276","0","0.2284","1.6942","1.7039","-0.0250"
"28.200","1","0.222","0","0.2409","1.6942","1.6955","-0.0250"
"29.300","1","0.662","0","0.2605","1.6942","1.6950","-0.0250"
"30.400","1","0.165","0","0.2830","1.6942","1.6941","0.0046"
"31.500","1","0.142","0","0.3073","1.6942","1.6939","0.0174"
"32.600","1","0.047","0","0.3316","1.6942","1.6882","0.0250"
"33.700","1","0.179","0","0.3559","1.6942","1.6977","-0.0250"
"34.800","1","0.230","0","0.3545","1.6942","1.7059","-0.0250"
"35.900","1","0.307","0","0.3614","1.6942","1.7277","-0.0250"
"37.000","1","0.353","0","0.3713","1.6942","1.7578","-0.0250"
"38.100","1","0.841","1","0.3673","1.6942","1.7482","0.0400"
"39.200","1","0.594","0","0.3628","1.6942","1.7520","-0.0250"
"40.300","1","1.595","1","0.3608","1.6942","1.7359","0.0400"
"41.400","1","2.909","1","0.3631","1.6942","1.7016","0.0400"
"42.500","1","0.075","0","0.3735","1.6942","1.7007","-0.0250"
"43.600","1","0.602","0","0.3892","1.6942","1.6967","-0.0250"
"44.699","1","0.886","0","0.3873","1.6942","1.7044","-0.0250"
"45.799","1","2.070","1","0.3915","1.6942","1.7373","0.0400"
"46.899","1","0.392","1","0.4103","1.6942","1.7388","0.0400"
"47.999","1","1.024","0","0.4164","1.6942","1.6977","-0.0250"
"49.099","1","0.476","0","0.4154","1.6942","1.6950","-0.0250"
"50.199","1","0.347","0","0.4317","1.6942","1.6750","0.0250"
"51.299","1","0.231","0","0.4317","1.6942","1.6968","-0.0250"
"52.399","1","0.323","0","0.4317","1.6942","1.6973","-0.0250"
"53.499","1","0.442","0","0.4319","1.6942","1.6945","-0.0151"
"54.599","1","0.445","0","0.4318","1.6942","1.6940","0.0125"
"55.699","1","0.330","0","0.4307","1.6942","1.6738","0.0250"
"56.799","1","0.366","0","0.4307","1.6942","1.6564","0.0250"
"57.899","1","0.223","0","0.4304","1.6942","1.6889","0.0250"
"58.999","1","0.149","0","0.4305","1.6942","1.7120","-0.0250"
"60.099","1","0.106","0","0.4312","1.6942","1.7183","-0.0250"
