"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.165","0.578","4.721","0.165","0.578","4.721","-1"
"0.403","0.263","4.568","0.403","0.263","4.568","-1"
"1.995","3.494","9.807","1.995","3.494","9.807","-1"
"0.455","3.680","11.030","0.455","3.680","11.030","-1"
"-3.152","-27.397","130.705","-3.152","-27.397","130.705","-1"
"-27.619","153.515","709.770","-27.619","153.515","709.770","-1"
"-94.069","139.150","743.601","-94.069","139.150","743.601","-1"
"-49.099","314.481","1348.846","-49.099","314.481","1348.846","-1"
"-87.229","406.637","1654.843","-87.229","406.637","1654.843","-1"
"-208.576","38.613","2064.784","-208.576","38.613","2064.784","-1"
"-378.532","229.244","1415.411","-378.532","229.244","1415.411","-1"
"-182.458","513.738","1846.479","-182.458","513.738","1846.479","-1"
"-62.774","252.380","2567.203","-62.774","252.380","2567.203","-1"
"87.326","6.212","2773.321","87.326","6.212","2773.321","-1"
"11.937","-63.770","2228.197","11.937","-63.770","2228.197","-1"
"-5.165","101.829","561.979","-5.165","101.829","561.979","-1"
"192.536","-657.711","902.046","192.536","-657.711","902.046","-1"
"-200.532","138.859","2509.977","-200.532","138.859","2509.977","-1"
"650.677","-442.084","1979.408","650.677","-442.084","1979.408","-1"
"-157.575","83.208","2287.879","-157.575","83.208","2287.879","-1"
"-250.007","-11.687","1790.905","-250.007","-11.687","1790.905","-1"
"-270.987","-75.087","2373.177","-270.987","-75.087","2373.177","-1"
"593.392","-218.240","704.281","593.392","-218.240","704.281","-1"
"55.613","-4.768","1602.184","55.613","-4.768","1602.184","-1"
"103.875","-431.307","1856.540","103.875","-431.307","1856.540","-1"
"-33.821","-196.438","1931.921","-33.821","-196.438","1931.921","-1"
"-225.304","-276.254","1802.529","-225.304","-276.254","1802.529","-1"
"-29.074","-43.573","-226.675","-29.074","-43.573","-226.675","-1"
"9.978","-107.153","892.949","9.978","-107.153","892.949","-1"
