"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","1411.368","0.0000"
"1.200","1.217","1.000","0.000","1764.183","0.0000"
"2.300","2.317","1.000","0.000","1706.303","0.0000"
"3.400","3.417","1.000","0.000","1763.993","0.0000"
"4.400","4.417","1.000","0.000","1778.090","0.0000"
"5.400","5.417","1.000","0.000","1684.662","0.0000"
"6.400","6.417","1.000","0.000","1755.905","0.0000"
"7.400","7.417","1.000","0.000","1697.541","0.0000"
"8.400","8.417","1.000","0.000","1716.675","0.0000"
"9.500","9.517","1.000","0.000","1687.010","0.0300"
"10.600","10.617","1.000","0.000","1765.738","0.0300"
"11.700","11.717","1.000","0.000","1717.145","0.0300"
"12.800","12.817","1.000","0.000","1609.390","0.0300"
"13.900","13.917","1.000","0.000","1457.222","0.0300"
"15.000","15.017","1.000","0.000","1477.089","0.0300"
"16.100","16.117","1.000","0.000","1320.262","0.0300"
"17.200","17.217","1.000","0.000","1093.378","0.0300"
"18.300","18.317","1.000","0.000","887.978","0.0300"
"19.400","19.417","1.000","-0.002","712.936","0.0300"
"20.500","20.517","1.000","29.267","462.487","0.0300"
"21.600","21.617","1.000","24.653","571.077","0.0300"
"22.700","22.717","1.000","36.542","1039.211","0.0300"
"23.800","23.817","1.000","16.348","829.901","0.0300"
"24.900","24.917","1.000","27.906","1033.178","0.0300"
"26.000","26.017","1.000","31.802","592.283","0.0300"
"27.100","27.117","1.000","13.903","1208.704","0.0300"
"28.200","28.217","1.000","12.828","202.970","0.0300"
"29.300","29.317","0.000","4.217","5.665","0.0000"
"30.400","30.417","1.000","37.062","182.574","0.0300"
"31.500","31.517","0.000","25.161","184.957","0.0000"
"32.600","32.617","1.000","67.100","710.447","0.0300"
"33.700","33.717","1.000","30.211","1382.378","0.0300"
"34.800","34.817","1.000","30.219","857.825","0.0300"
"35.900","35.917","0.000","25.341","1430.987","0.0000"
"37.000","37.017","1.000","4.109","1274.494","0.0300"
"38.100","38.117","1.000","14.095","254.756","0.0300"
"39.200","39.217","1.000","5.480","917.741","0.0300"
"40.300","40.317","1.000","6.679","535.036","0.0300"
"41.400","41.417","1.000","25.262","249.372","0.0300"
"42.500","42.517","1.000","26.144","889.474","0.0300"
"43.600","43.617","1.000","32.002","1211.968","0.0300"
"44.699","44.717","1.000","46.275","830.868","0.0300"
"45.799","45.817","1.000","23.764","419.672","0.0300"
"46.899","46.917","1.000","14.095","647.130","0.0300"
"47.999","48.017","1.000","4.398","1251.203","0.0300"
"49.099","49.117","1.000","12.980","1020.096","0.0300"
"50.199","50.217","1.000","24.876","917.893","0.0000"
"51.299","51.317","1.000","18.515","850.541","0.0000"
"52.399","52.417","1.000","14.248","745.944","0.0000"
"53.499","53.517","1.000","-1.164","1491.219","0.0000"
"54.599","54.617","1.000","4.401","532.213","0.0000"
"55.699","55.717","1.000","3.549","935.589","0.0000"
"56.799","56.817","1.000","18.180","502.091","0.0000"
"57.899","57.917","1.000","23.645","1576.504","0.0000"
"58.999","59.017","1.000","29.517","1074.123","0.0000"
"60.099","60.117","1.000","20.016","1226.185","0.0000"
