"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"Helix","0.10","-10.00","-0.000","-0.000","-0.000","0.3452","0.0239","0.0000","0.0000","1.5561","30.00","0"
"Helix","1.20","-10.00","-0.000","-0.000","-0.000","0.0000","0.0711","0.0000","0.0000","1.5089","29.50","0"
"Helix","2.30","-10.00","-0.000","-0.000","-0.000","0.0113","0.0217","0.0000","0.0000","1.5583","26.75","0"
"Helix","3.40","-10.00","-0.000","-0.000","-0.000","0.0000","0.0211","0.0000","0.0000","1.5589","24.00","0"
"Helix","4.40","-10.00","-0.000","-0.000","-0.000","0.1216","0.0308","0.0000","-0.0000","1.5492","23.83","0"
"Helix","5.40","-10.00","-0.000","-0.000","-0.000","0.1044","0.0479","0.0000","-0.0000","1.5321","23.67","0"
"Helix","6.40","-10.00","-0.000","-0.000","-0.000","0.0004","0.0461","0.0000","-0.0000","1.5339","24.05","0"
"Helix","7.40","-10.00","-0.000","-0.000","-0.000","0.0345","0.0233","0.0000","-0.0000","1.5567","25.00","0"
"Helix","8.40","-10.00","-0.000","-0.000","-0.000","0.0549","0.0251","0.0000","-0.0000","1.5549","25.04","0"
"Helix","9.50","-10.00","-0.000","-0.000","-0.000","0.0623","0.0400","0.0075","0.0075","1.5407","23.79","0"
"Helix","10.60","-10.00","-0.000","-0.000","-0.000","0.0231","0.0551","0.0315","0.0315","1.5348","21.04","0"
"Helix","11.70","-10.00","-0.000","-0.000","-0.000","0.0230","0.0721","0.0558","0.0558","1.5343","19.65","0"
"Helix","12.80","-10.00","-0.000","-0.000","-0.000","0.0103","0.0774","0.0557","0.0556","1.5263","17.28","0"
"Helix","13.90","-10.00","-0.000","-0.000","-0.000","0.0188","0.0802","0.0539","0.0532","1.5207","17.06","0"
"Helix","15.00","-10.00","-0.000","-0.000","-0.000","0.0682","0.0879","0.0610","0.0600","1.5168","16.39","0"
"Helix","16.10","-10.00","-0.000","-0.000","-0.000","0.0384","0.0838","0.0742","0.0731","1.5412","13.64","0"
"Helix","17.20","-10.00","-0.000","-0.000","-0.000","0.0252","0.1042","0.0982","0.0974","1.5451","10.89","0"
"Helix","18.30","-10.00","-0.000","-0.000","-0.000","0.0245","0.1252","0.1222","0.1216","1.5529","8.50","0"
"Helix","19.40","-10.00","-0.002","0.001","0.001","0.0331","0.1488","0.1450","0.1443","1.5466","8.36","0"
"Helix","20.50","-10.00","29.830","36.353","-23.746","0.0292","0.1709","0.1692","0.1685","1.5558","6.07","0"
"Helix","21.60","-10.00","25.206","22.873","5.465","0.0265","0.1992","0.1938","0.1924","1.5340","7.32","0"
"Helix","22.70","-10.00","34.999","25.931","-31.878","0.0275","0.2260","0.2179","0.2167","1.5201","9.45","0"
"Helix","23.80","-10.00","16.063","18.279","-15.513","0.0444","0.2458","0.2420","0.2410","1.5369","7.23","0"
"Helix","24.90","-10.00","28.546","44.343","-13.215","0.0236","0.2700","0.2662","0.2653","1.5345","6.96","0"
"Helix","26.00","-10.00","32.188","30.795","-20.124","0.0305","0.2932","0.2903","0.2895","1.5387","5.31","0"
"Helix","27.10","-10.00","14.710","39.631","-22.520","0.0290","0.3207","0.3144","0.3137","1.5168","7.50","0"
"Helix","28.20","-10.00","13.183","10.385","-2.398","0.0244","0.3400","0.3360","0.3349","1.5278","4.75","0"
"Helix","29.30","-10.00","4.281","3.912","0.560","0.0218","0.3562","0.3541","0.3531","1.5414","2.00","0"
"Helix","30.40","-10.00","38.189","33.596","-11.637","0.0259","0.3705","0.3669","0.3660","1.5285","2.93","0"
"Helix","31.50","-10.00","26.169","35.809","-12.116","0.0367","0.3771","0.3736","0.3725","1.5286","2.64","0"
"Helix","32.60","-10.00","68.461","74.741","-33.628","0.0340","0.3953","0.3865","0.3854","1.4968","5.94","0"
"Helix","33.70","-10.00","31.578","97.961","-83.530","0.0222","0.4227","0.4106","0.4096","1.4797","8.69","0"
"Helix","34.80","-10.00","30.562","38.733","-25.137","0.0106","0.4171","0.4084","0.4071","1.4955","9.15","0"
"Helix","35.90","-10.00","26.895","68.156","-37.444","0.0338","0.4112","0.4085","0.4069","1.5330","6.73","0"
