"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","0.000000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","6.800000","6.800000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","12.200000","13.000000","5.200000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","22.000000","23.400000","7.200000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","26.600000","29.400000","12.400000","1.000000","1.200000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","28.200000","32.600000","14.000000","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","26.800000","35.400001","16.800000","4.000000","4.400000","0.200000","0.000000","0.200000","0.000000","0"
"26.00","25.800000","39.600001","19.400000","4.800000","6.000000","0.800000","0.000000","0.800000","0.200000","0"
"27.10","26.200000","42.400001","22.400000","6.000000","7.400000","0.800000","0.000000","0.800000","0.800000","0"
"28.20","20.800000","45.200001","23.800000","4.800000","8.000000","1.000000","0.000000","1.200000","0.800000","0"
"29.30","21.000000","49.000001","26.800000","3.800000","10.800000","4.800000","0.000000","5.000000","0.800000","0"
"30.40","22.000000","51.000001","29.600000","5.400000","12.600000","5.400000","0.000000","5.400000","0.800000","0"
"31.50","26.000000","52.800001","30.200000","4.400000","12.800000","6.200000","0.000000","6.200000","0.800000","0"
"32.60","29.000000","54.800001","31.000000","5.400000","13.800000","6.200000","0.000000","6.200000","0.800000","0"
"33.70","28.000000","58.400001","35.800001","6.800000","17.800000","6.400000","0.000000","7.200000","0.800000","0"
"34.80","22.800000","59.400001","37.000001","9.400000","21.800000","9.800000","0.000000","9.800000","5.000000","0"
"35.90","17.400000","60.800001","40.600001","9.200000","22.400000","10.000000","0.200000","10.000000","5.000000","0"
"37.00","25.200000","66.400001","42.600001","7.800000","22.400000","11.000000","0.200000","11.200000","5.000000","0"
"38.10","24.000000","70.600001","46.400001","8.200000","26.400000","12.000000","0.200000","12.200000","5.000000","0"
"39.20","30.800000","75.000001","48.600001","5.200000","27.200000","16.400000","0.200000","16.400000","5.000000","0"
"40.30","17.400000","76.000001","50.200001","6.600000","30.200000","18.800000","0.200000","18.800000","5.000000","0"
"41.40","19.400000","76.800001","50.600001","7.800000","31.600000","19.000000","0.200000","19.000000","5.000000","0"
"42.50","27.800000","78.600001","52.000001","7.200000","32.800000","19.800000","0.200000","19.800000","5.000000","0"
"43.60","20.200000","79.800001","55.600001","7.800000","34.800001","21.600000","0.200000","21.800000","5.600000","0"
"44.70","21.400000","81.200001","55.600001","9.600000","37.600001","22.400000","0.200000","22.600000","5.600000","0"
"45.80","26.200000","86.000001","56.600001","7.000000","38.600001","22.600000","0.200000","22.800000","5.600000","0"
"46.90","26.600000","87.800001","57.600001","7.600000","40.400001","25.800000","0.200000","26.000000","5.600000","0"
"48.00","22.600000","89.000001","58.800001","10.800000","44.800001","27.200000","0.200000","27.400000","5.600000","0"
"49.10","23.000000","90.000001","59.600001","10.600000","45.800001","28.000000","0.200000","28.000000","5.600000","0"
"50.20","21.200000","90.800001","62.200001","7.800000","45.800001","29.000000","0.200000","29.000000","5.600000","0"
"51.30","27.000000","91.600001","63.000001","7.400000","46.000001","31.800000","0.200000","31.800000","5.600000","0"
"52.40","27.400000","92.800001","64.400001","4.000000","46.000001","33.400000","0.200000","33.800001","5.800000","0"
"53.50","24.800000","93.600001","65.600001","1.200000","46.600001","38.000001","0.200000","38.400001","5.800000","0"
"54.60","23.400000","94.000001","66.000001","0.800000","46.600001","39.600001","0.200000","39.600001","7.800000","0"
"55.70","21.800000","94.400001","66.200001","0.800000","46.600001","39.600001","0.200000","39.600001","7.800000","0"
"56.80","24.400000","95.400001","66.800001","0.600000","46.600001","39.600001","0.200000","39.600001","7.800000","0"
"57.90","26.800000","97.200001","67.800001","1.000000","47.000001","39.800001","0.200000","39.800001","13.400000","0"
"59.00","24.400000","97.200001","68.600001","0.400000","47.000001","39.800001","0.200000","39.800001","24.000000","0"
"60.10","26.200000","97.600001","70.000001","0.800000","47.400001","40.400001","0.200000","40.400001","26.000000","0"
