"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.292","0.00","0.00","60000.000894","0.000000000","7740.000115","0.000000","0","0","0.000000","0.000","-1"
"1.20","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"2.30","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7820.000117","0.000000","0","0","0.000000","0.000","-1"
"3.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"5.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7965.000119","0.000000","0","0","0.000000","0.000","-1"
"6.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8001.800119","0.000000","0","0","0.000000","0.000","-1"
"7.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7845.800117","0.000000","0","0","0.000000","0.000","-1"
"8.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7782.600116","0.000000","0","0","0.000000","0.000","-1"
"9.50","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8187.800122","0.000000","0","0","0.000000","0.000","-1"
"10.60","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8872.600132","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8996.400134","0.000000","0","0","0.000000","0.000","-1"
"12.80","45.00","0.300","0.10","0.00","60000.000894","0.000000000","9207.200137","0.000000","0","0","0.000000","0.000","-1"
"13.90","45.00","0.300","0.00","0.00","60000.000894","0.000000000","9159.400136","0.000000","0","0","0.000000","0.000","-1"
"15.00","45.00","0.298","4.24","0.00","60000.000894","0.000000000","9582.200143","0.000000","0","0","0.000000","0.000","-1"
"16.10","45.00","0.298","2.69","0.00","60000.000894","0.000000000","9908.800148","0.000000","0","0","0.000000","0.000","-1"
"17.20","45.00","0.288","29.35","0.00","60000.000894","0.000000000","9862.600147","0.000000","0","0","0.000000","0.000","-1"
"18.30","45.00","0.240","267.85","0.00","60000.000894","0.000000000","10135.600151","0.000000","0","0","0.000000","0.000","-1"
"19.40","45.00","0.255","100.72","0.00","60000.000894","0.000000000","10035.800150","0.000000","0","0","0.000000","0.000","-1"
