"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.8942","1.9703","0.0000"
"1.200","1","0.000","0","0.0000","1.8942","1.9185","-0.0250"
"2.300","1","0.000","0","0.0000","1.8942","1.9404","-0.0250"
"3.400","1","0.000","0","0.0000","1.8942","1.9135","-0.0250"
"4.400","1","0.000","0","-0.0000","1.8942","1.9022","-0.0250"
"5.400","1","0.000","0","-0.0000","1.8942","1.8846","0.0250"
"6.400","1","0.000","0","0.0001","1.8942","1.8939","0.0146"
"7.400","1","0.000","0","-0.0000","1.8942","1.9212","-0.0250"
"8.400","1","0.000","0","-0.0002","1.8942","1.9166","-0.0250"
"9.500","1","0.000","0","0.0074","1.8868","1.9037","-0.0250"
"10.600","1","0.000","0","0.0311","1.8631","1.8895","-0.0250"
"11.700","1","0.000","0","0.0550","1.8392","1.8632","-0.0250"
"12.800","1","0.000","0","0.0544","1.8398","1.8400","-0.0115"
"13.900","1","0.000","0","0.0518","1.8424","1.8297","0.0250"
"15.000","1","0.000","0","0.0584","1.8358","1.8389","-0.0250"
"16.100","1","0.000","0","0.0735","1.8207","1.8441","-0.0250"
"17.200","1","0.000","0","0.0978","1.7964","1.7984","-0.0250"
"18.300","1","0.001","0","0.1224","1.7718","1.7789","-0.0250"
"19.400","1","0.037","0","0.1449","1.7493","1.7489","0.0236"
"20.500","1","0.239","0","0.1691","1.7251","1.7311","-0.0250"
"21.600","1","0.354","0","0.1931","1.7011","1.6999","0.0250"
"22.700","1","0.234","0","0.2181","1.6942","1.6876","0.0250"
"23.800","1","0.102","0","0.2413","1.6942","1.6960","-0.0250"
"24.900","1","0.085","0","0.2657","1.6942","1.6955","-0.0250"
"26.000","1","0.059","0","0.2898","1.6942","1.6914","0.0250"
"27.100","1","0.080","0","0.3147","1.6942","1.6955","-0.0250"
"28.200","1","0.308","0","0.3357","1.6942","1.7062","-0.0250"
"29.300","1","1.770","0","0.3544","1.6942","1.7031","-0.0250"
"30.400","1","0.156","0","0.3668","1.6942","1.6989","-0.0250"
"31.500","1","1.636","1","0.3733","1.6942","1.6926","0.0400"
"32.600","1","0.302","0","0.3852","1.6942","1.6747","0.0250"
"33.700","1","0.097","0","0.4094","1.6942","1.6798","0.0250"
"34.800","1","0.154","0","0.4065","1.6942","1.6963","-0.0250"
"35.900","1","0.146","1","0.4064","1.6942","1.7224","0.0400"
"37.000","1","0.172","0","0.4566","1.6942","1.7075","-0.0250"
"38.100","1","0.362","0","0.4786","1.6942","1.7014","-0.0250"
"39.200","1","0.222","0","0.4906","1.6942","1.6900","0.0250"
"40.300","1","0.199","0","0.4538","1.6942","1.7246","-0.0250"
"41.400","1","0.355","0","0.4548","1.6942","1.6999","-0.0250"
"42.500","1","0.285","0","0.4779","1.6942","1.6696","0.0250"
"43.600","1","0.117","0","0.5026","1.6942","1.7106","-0.0250"
"44.699","1","0.063","0","0.5269","1.6942","1.6965","-0.0250"
"45.799","1","0.454","0","0.5499","1.6942","1.6945","-0.0206"
"46.899","1","0.203","0","0.5428","1.6942","1.6937","0.0250"
"47.999","1","0.121","0","0.5443","1.6942","1.7017","-0.0250"
"49.099","1","0.124","0","0.5344","1.6942","1.6931","0.0250"
"50.199","1","0.132","0","0.5455","1.6942","1.7044","-0.0250"
"51.299","1","0.258","0","0.5457","1.6942","1.6819","0.0250"
"52.399","1","0.469","0","0.5449","1.6942","1.6654","0.0250"
"53.499","1","0.143","0","0.5447","1.6942","1.6942","-0.0021"
"54.599","1","0.165","0","0.5454","1.6942","1.6977","-0.0250"
"55.699","1","0.138","0","0.5449","1.6942","1.6982","-0.0250"
"56.799","1","0.188","0","0.5451","1.6942","1.6884","0.0250"
"57.899","1","0.102","0","0.5447","1.6942","1.6744","0.0250"
"58.999","1","0.069","0","0.5447","1.6942","1.6937","0.0250"
"60.099","1","0.039","0","0.5450","1.6942","1.6789","0.0250"
