id,motion,shape,friction,x,y,z,hx,hy,hz,axx,axy,axz,ayx,ayy,ayz,azx,azy,azz
0,0,0,-1.000000,-1.000000,-0.300000,1.545000,0.210000,0.030000,0.042500,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1,0,0,-1.000000,-1.000000,0.300000,1.545000,0.210000,0.030000,0.042500,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
2,4,0,-1.000000,-1.152360,0.000000,1.637328,0.460000,0.220000,0.015000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
3,0,0,-1.000000,-1.136434,-0.250000,1.670060,0.470000,0.015000,0.080000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
4,0,0,-1.000000,-1.136434,0.250000,1.670060,0.470000,0.015000,0.080000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
5,3,0,-1.000000,-0.380761,0.000000,1.694205,0.230000,0.026000,0.026000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
6,3,0,-1.000000,-0.134559,0.000000,1.650793,0.020000,0.050000,0.050000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
7,3,0,0.250000,-0.159179,0.120000,1.655134,0.014000,0.085000,0.033000,0.947501,0.000000,0.319751,0.000000,1.000000,0.000000,-0.319751,0.000000,0.947501
8,3,0,0.250000,-0.170528,0.115911,1.688673,0.014000,0.085000,0.033000,0.944665,-0.124084,0.303664,0.044943,0.965926,0.254887,-0.324944,-0.227135,0.918053
9,3,0,0.250000,-0.182244,0.103923,1.720127,0.014000,0.085000,0.033000,0.936348,-0.239713,0.256496,0.086824,0.866025,0.492404,-0.340168,-0.438791,0.831714
10,3,0,0.250000,-0.194670,0.084853,1.747554,0.014000,0.085000,0.033000,0.923118,-0.339005,0.181464,0.122788,0.707107,0.696364,-0.364386,-0.620545,0.694368
11,3,0,0.250000,-0.208100,0.060000,1.769287,0.014000,0.085000,0.033000,0.905876,-0.415195,0.083680,0.150384,0.500000,0.852868,-0.395947,-0.760009,0.515376
12,3,0,0.250000,-0.222760,0.031058,1.784045,0.014000,0.085000,0.033000,0.885797,-0.463089,-0.030191,0.167731,0.258819,0.951251,-0.432700,-0.847680,0.306936
13,3,0,0.250000,-0.238792,0.000000,1.791023,0.014000,0.085000,0.033000,0.864250,-0.479425,-0.152391,0.173648,0.000000,0.984808,-0.472142,-0.877582,0.083251
14,3,0,0.250000,-0.256243,-0.031058,1.789949,0.014000,0.085000,0.033000,0.842703,-0.463089,-0.274590,0.167731,-0.258819,0.951251,-0.511584,-0.847680,-0.140433
15,3,0,0.250000,-0.275067,-0.060000,1.781095,0.014000,0.085000,0.033000,0.822624,-0.415195,-0.388462,0.150384,-0.500000,0.852868,-0.548337,-0.760009,-0.348874
16,3,0,0.250000,-0.295120,-0.084853,1.765266,0.014000,0.085000,0.033000,0.805382,-0.339005,-0.486245,0.122788,-0.707107,0.696364,-0.579898,-0.620545,-0.527866
17,3,0,0.250000,-0.316178,-0.103923,1.743743,0.014000,0.085000,0.033000,0.792152,-0.239713,-0.561278,0.086824,-0.866025,0.492404,-0.604116,-0.438791,-0.665211
18,3,0,0.250000,-0.337945,-0.115911,1.718193,0.014000,0.085000,0.033000,0.783835,-0.124084,-0.608445,0.044943,-0.965926,0.254887,-0.619340,-0.227135,-0.751550
19,3,0,0.250000,-0.360080,-0.120000,1.690559,0.014000,0.085000,0.033000,0.780999,0.000000,-0.624532,-0.000000,-1.000000,-0.000000,-0.624532,0.000000,-0.780998
20,3,0,0.250000,-0.382215,-0.115911,1.662924,0.014000,0.085000,0.033000,0.783835,0.124084,-0.608445,-0.044943,-0.965926,-0.254887,-0.619340,0.227135,-0.751550
21,3,0,0.250000,-0.403982,-0.103923,1.637374,0.014000,0.085000,0.033000,0.792152,0.239713,-0.561278,-0.086824,-0.866025,-0.492404,-0.604116,0.438791,-0.665211
22,3,0,0.250000,-0.425040,-0.084853,1.615851,0.014000,0.085000,0.033000,0.805382,0.339005,-0.486246,-0.122788,-0.707107,-0.696364,-0.579898,0.620544,-0.527866
23,3,0,0.250000,-0.445093,-0.060000,1.600023,0.014000,0.085000,0.033000,0.822624,0.415195,-0.388462,-0.150384,-0.500000,-0.852868,-0.548337,0.760009,-0.348874
24,3,0,0.250000,-0.463916,-0.031058,1.591169,0.014000,0.085000,0.033000,0.842703,0.463089,-0.274590,-0.167731,-0.258819,-0.951251,-0.511584,0.847680,-0.140433
25,3,0,0.250000,-0.481368,-0.000000,1.590094,0.014000,0.085000,0.033000,0.864250,0.479426,-0.152391,-0.173648,-0.000000,-0.984808,-0.472142,0.877582,0.083251
26,3,0,0.250000,-0.497400,0.031058,1.597073,0.014000,0.085000,0.033000,0.885797,0.463090,-0.030191,-0.167731,0.258819,-0.951251,-0.432700,0.847680,0.306936
