case,seconds,rig,entered_trough_kg,in_trough_kg,legacy_outlet_kg,tail_cross_kg,rear_settled_kg,signed_advance_m,displacement_m,final_mass_error_kg,nonfinite,carried,binary_sha256,arguments
AdaptiveChainOff,60.10,0,2.200000,0.600000,0.000000,0.000000,0.000000,0.2211,0.2212,0.000000000,0,0,DAB94B14B7B842B8945160DCCD4398DAE6B4CFC6607AFC94969E07A3AD92A590,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_AdaptiveChainOff.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50 -SandChainStopped"
AdaptiveProbe,37.00,0,12.600000,1.000000,9.600000,9.600000,9.600000,0.1947,0.2002,0.000000000,0,0,1E972D3BB22DD104F4A0FE4FD566250173C5CC1C5795F8B0AC7AF06405099FC4,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_AdaptiveProbe.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandAdaptiveFeed"
AdaptiveProbeRepeat,37.00,0,15.600000,0.000000,14.600000,14.600000,14.600000,0.1072,0.1113,0.000000000,0,0,1E972D3BB22DD104F4A0FE4FD566250173C5CC1C5795F8B0AC7AF06405099FC4,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_AdaptiveProbeRepeat.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandAdaptiveFeed"
AdaptiveRepeat,60.10,0,36.600001,1.200000,19.000000,20.200000,18.000000,0.6139,0.6139,0.000000000,0,0,DAB94B14B7B842B8945160DCCD4398DAE6B4CFC6607AFC94969E07A3AD92A590,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_AdaptiveRepeat.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50"
AdaptiveRun,60.10,0,21.800000,1.400000,14.400000,14.400000,14.200000,0.2878,0.2894,0.000000000,0,0,DAB94B14B7B842B8945160DCCD4398DAE6B4CFC6607AFC94969E07A3AD92A590,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_AdaptiveRun.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50 -SandMachineCapture"
DenseProbe,37.00,0,13.600000,1.000000,8.200000,8.200000,8.200000,0.1574,0.1574,0.000000000,0,0,AAC1FEFBEB89B58F4093CD2700010F226179B23029782C941A04D81E9AA9FBB0,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_DenseProbe.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandAdaptiveFeed -SandDenseSupport"
DenseRepeat,37.00,0,14.200000,0.200000,11.400000,11.400000,11.200000,0.1352,0.1352,0.000000000,0,0,AAC1FEFBEB89B58F4093CD2700010F226179B23029782C941A04D81E9AA9FBB0,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_DenseRepeat.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandAdaptiveFeed -SandDenseSupport"
Direct100,24.50,0,0.000000,0.000000,0.000000,,,,1.0939,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_Direct100.log -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandCutTest -SandHeadHeightCm=8 -SandHeadPitch=-6 -SandLiftGuide"
FinalChainOff,37.00,0,7.800000,3.600000,0.000000,0.000000,0.000000,-0.0696,0.0742,0.000000000,0,0,41F9695524A2CB4409AA1AC0884128F2A580DCFDEADC5D959051B265D3E082EC,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_FinalChainOff.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandChainStopped"
FinalRepeat,37.00,0,16.000000,0.800000,10.800000,11.200000,11.200000,0.0452,0.0453,0.000000000,0,0,41F9695524A2CB4409AA1AC0884128F2A580DCFDEADC5D959051B265D3E082EC,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_FinalRepeat.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest"
