"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.398","0.045","26.128","-44.398","0.045","26.128","-1"
"-153.045","1.166","26.324","-153.045","1.166","26.324","-1"
"-722.138","-2.379","184.868","-722.138","-2.379","184.868","-1"
"-57.671","-11.618","-38.412","-57.671","-11.618","-38.412","-1"
"-62.991","-4.001","-71.214","-62.991","-4.001","-71.214","-1"
"-15.802","1.275","-91.609","-15.802","1.275","-91.609","-1"
"-1.026","-0.804","-100.432","-1.026","-0.804","-100.432","-1"
"-13.391","-29.442","-58.926","-13.391","-29.442","-58.926","-1"
"-1.463","-5.205","-77.802","-1.463","-5.205","-77.802","-1"
"6.436","5.871","-52.455","6.436","5.871","-52.455","-1"
"-19.831","21.991","-70.282","-19.831","21.991","-70.282","-1"
"-22.098","14.492","-135.651","-22.098","14.492","-135.651","-1"
"-99.999","6.950","-60.870","-99.999","6.950","-60.870","-1"
"-48.880","-12.863","-50.895","-48.880","-12.863","-50.895","-1"
"-45.711","-21.904","-52.482","-45.711","-21.904","-52.482","-1"
"-53.687","9.496","9.225","-53.687","9.496","9.225","-1"
"-97.811","-68.683","153.101","-97.811","-68.683","153.101","-1"
"-36.276","-18.423","-128.864","-36.276","-18.423","-128.864","-1"
"-58.551","-4.831","-64.055","-58.551","-4.831","-64.055","-1"
"-86.915","-12.336","355.651","-86.915","-12.336","355.651","-1"
"-228.140","-70.263","95.077","-228.140","-70.263","95.077","-1"
"-107.853","-30.738","-133.210","-107.853","-30.738","-133.210","-1"
"-91.392","-13.526","-193.581","-91.392","-13.526","-193.581","-1"
"-8.004","4.441","-159.208","-8.004","4.441","-159.208","-1"
"0.418","9.809","-94.196","0.418","9.809","-94.196","-1"
"-45.143","16.285","-92.947","-45.143","16.285","-92.947","-1"
"-135.833","6.100","628.673","-135.833","6.100","628.673","-1"
"-122.804","-53.905","678.173","-122.804","-53.905","678.173","-1"
"2.037","5.050","-90.567","2.037","5.050","-90.567","-1"
