"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-225.961","588.713","0.0000"
"4.400","4.417","1.000","-416.605","657.158","0.0000"
"5.400","5.417","1.000","-14.639","539.088","0.0000"
"6.400","6.417","1.000","-90.923","605.241","0.0000"
"7.400","7.417","1.000","-144.744","600.688","0.0000"
"8.400","8.417","1.000","-30.162","573.978","0.0000"
"9.500","9.517","0.584","-569.795","627.306","0.0210"
"10.600","10.617","1.000","-52.790","582.754","0.0300"
"11.700","11.717","1.000","-53.249","671.892","0.0300"
"12.800","12.817","1.000","-103.454","610.092","0.0300"
"13.900","13.917","1.000","-30.761","754.175","0.0300"
"15.000","15.017","1.000","-3.296","707.513","0.0300"
"16.100","16.117","1.000","1.299","647.984","0.0300"
"17.200","17.217","1.000","-42.446","633.110","0.0300"
"18.300","18.317","1.000","-65.607","602.542","0.0300"
"19.400","19.417","1.000","-48.001","630.116","0.0300"
"20.500","20.517","1.000","-10.446","645.275","0.0300"
"21.600","21.617","0.000","-0.508","658.327","0.0000"
"22.700","22.717","1.000","-54.282","671.546","0.0300"
"23.800","23.817","0.000","-73.309","694.590","0.0000"
"24.900","24.917","1.000","4.587","545.967","0.0300"
"26.000","26.017","1.000","22.194","602.217","0.0300"
"27.100","27.117","1.000","-11.821","570.807","0.0300"
"28.200","28.217","1.000","-302.820","617.578","0.0300"
"29.300","29.317","1.000","-44.583","647.199","0.0300"
"30.400","30.417","1.000","-18.668","571.375","0.0300"
"31.500","31.517","1.000","-44.105","622.207","0.0300"
"32.600","32.617","1.000","0.275","601.860","0.0300"
"33.700","33.717","1.000","-25.038","627.796","0.0300"
"34.800","34.817","1.000","-77.706","570.447","0.0300"
"35.900","35.917","1.000","-21.553","591.736","0.0300"
"37.000","37.017","0.000","-3.351","634.954","0.0000"
"38.100","38.117","1.000","-85.527","628.497","0.0300"
"39.200","39.217","1.000","-6.626","646.335","0.0300"
"40.300","40.317","1.000","-20.249","611.956","0.0300"
"41.400","41.417","1.000","-106.701","599.871","0.0300"
"42.500","42.517","0.000","-51.743","467.945","0.0000"
"43.600","43.617","1.000","-340.284","507.055","0.0300"
"44.699","44.717","1.000","-22.159","652.104","0.0300"
"45.799","45.817","1.000","-289.447","700.891","0.0300"
"46.899","46.917","1.000","-53.578","639.442","0.0300"
"47.999","48.017","1.000","-102.090","697.634","0.0300"
"49.099","49.117","1.000","-100.464","687.395","0.0300"
"50.199","50.217","1.000","-3.201","655.133","0.0000"
"51.299","51.317","1.000","-30.771","637.275","0.0000"
"52.399","52.417","1.000","-60.327","648.619","0.0000"
"53.499","53.517","1.000","-5.118","642.629","0.0000"
"54.599","54.617","1.000","-16.930","579.475","0.0000"
"55.699","55.717","1.000","-42.335","592.520","0.0000"
"56.799","56.817","1.000","-9.419","564.433","0.0000"
"57.899","57.917","0.000","-58.607","532.266","0.0000"
"58.999","59.017","1.000","-23.850","521.607","0.0000"
"60.099","60.117","1.000","-5.144","597.832","0.0000"
