"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-225.961","0.000","42.937","0.0078","0.0286","0.0000","0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-416.605","0.027","-309.378","0.0191","0.0299","0.0002","-0.0002","1.5501","24.90","0"
"BucketWheel","5.40","-14.00","-14.639","0.068","-50.884","0.0037","0.0281","0.0002","-0.0002","1.5519","23.40","0"
"BucketWheel","6.40","-14.00","-90.923","0.195","14.514","0.0070","0.0302","0.0002","-0.0002","1.5498","23.02","0"
"BucketWheel","7.40","-14.00","-144.744","-1.946","-13.578","0.0094","0.0300","0.0002","-0.0002","1.5500","23.00","0"
"BucketWheel","8.40","-14.00","-30.812","-2.615","-62.382","0.1071","0.0397","0.0172","-0.0172","1.5443","24.66","0"
"BucketWheel","9.50","-14.00","-570.769","11.696","-7.377","0.0199","0.0543","0.0108","-0.0108","1.5268","26.01","0"
"BucketWheel","10.60","-14.00","-54.027","-11.661","-26.330","0.0593","0.0381","0.0181","-0.0181","1.5465","27.79","0"
"BucketWheel","11.70","-14.00","-54.129","-14.786","-25.943","0.0192","0.0569","0.0112","-0.0112","1.5242","28.18","0"
"BucketWheel","12.80","-14.00","-106.533","-8.415","-67.402","0.0848","0.0492","0.0066","0.0066","1.5312","28.65","0"
"BucketWheel","13.90","-14.00","-30.607","-4.397","15.096","0.1978","0.0411","0.0250","0.0250","1.5473","27.00","0"
"BucketWheel","15.00","-14.00","-3.296","-0.197","-0.033","0.0695","0.0417","0.0103","0.0095","1.5396","28.47","0"
"BucketWheel","16.10","-14.00","1.234","-0.002","1.530","0.0223","0.0548","0.0335","0.0333","1.5366","26.82","0"
"BucketWheel","17.20","-14.00","-42.499","-2.365","1.065","0.0221","0.0720","0.0578","0.0576","1.5370","25.17","0"
"BucketWheel","18.30","-14.00","-65.603","-20.419","7.674","0.0649","0.0884","0.0816","0.0815","1.5461","23.52","0"
