"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","25.600000","30.000000","9.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.000000","30.000000","11.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","22.000000","43.400001","13.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","32.200000","45.000001","15.400000","0.200000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","19.200000","46.600001","17.000000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","21.200000","46.600001","17.400000","0.400000","0.400000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","16.400000","46.800001","18.600000","0.600000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","11.800000","49.200001","20.000000","0.400000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","4.200000","49.200001","20.000000","0.400000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","6.200000","49.400001","20.000000","0.200000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","12.800000","52.000001","20.000000","0.400000","0.600000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","12.800000","52.200001","20.200000","0.800000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","11.000000","55.800001","20.200000","0.800000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","13.400000","56.000001","20.400000","0.600000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","10.000000","56.600001","21.400000","0.400000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","16.400000","56.600001","21.400000","0.400000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","17.400000","56.800001","22.800000","0.400000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","14.400000","57.000001","23.200000","0.400000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","16.000000","57.200001","23.400000","0.400000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","11.800000","61.200001","23.600000","0.200000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","25.000000","64.400001","25.000000","0.600000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"29.30","19.400000","68.000001","26.400000","0.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"30.40","13.400000","68.000001","26.400000","0.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"31.50","16.800000","68.000001","27.000000","0.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"32.60","7.800000","71.200001","27.400000","0.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"33.70","10.400000","72.000001","27.800000","0.200000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"34.80","19.800000","72.000001","28.200000","0.400000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"35.90","18.800000","72.200001","30.000000","0.400000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"37.00","16.200000","78.000001","31.600000","0.400000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"38.10","8.600000","78.000001","31.600000","0.400000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
