"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.000","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"3.40","78.69","0.000","0.00","54.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.61","0.000","0.00","133.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.41","0.000","0.00","12.50","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","77.48","-0.000","5.63","30.78","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.002"
"7.40","77.04","-0.000","4.12","48.55","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.340"
"8.40","77.98","0.000","-1.86","22.69","60000.000894","0.000000000","6511.800097","0.000000","0","0","0.000000","0.000"
"9.50","73.36","-0.000","3.25","178.56","60000.000894","0.000000000","6155.800092","0.000000","0","0","0.000000","0.339"
"10.60","78.97","-0.000","19.40","13.98","60000.000894","0.000000000","5921.800088","0.000000","0","0","0.000000","0.028"
"11.70","78.00","-0.000","0.23","18.54","60000.000894","0.000000000","6204.200092","0.000000","0","0","0.000000","0.214"
"12.80","77.92","0.000","-0.81","36.97","60000.000894","0.000000000","6282.800094","0.000000","0","0","0.000000","0.779"
"13.90","79.55","-0.000","8.03","10.96","60000.000894","0.000000000","6953.200104","0.000000","0","0","2.400000","3.316"
"15.00","79.92","-0.000","6.62","0.81","60000.000894","0.000000000","7308.000109","0.000000","0","0","0.000000","1.305"
"16.10","79.79","-0.000","34.62","0.35","60000.000894","0.000000000","7722.600115","0.000000","0","0","0.000000","0.235"
"17.20","79.71","-0.000","1.39","11.80","60000.000894","0.000000000","8057.000120","0.000000","0","0","0.000000","0.102"
"18.30","78.82","-0.000","2.20","14.75","60000.000894","0.000000000","8371.400125","0.000000","0","0","0.000000","0.000"
"19.40","79.49","-0.000","1.56","11.46","60000.000894","0.000000000","9047.400135","0.000000","0","0","0.000000","0.333"
"20.50","79.60","-0.000","0.60","3.04","60000.000894","0.000000000","8562.000128","0.000000","0","0","0.000000","0.140"
"21.60","79.54","-0.000","1.45","8.60","60000.000894","0.000000000","8467.800126","0.000000","0","0","0.000000","0.266"
"22.70","79.51","-0.000","5.03","13.40","60000.000894","0.000000000","8533.400127","0.000000","0","0","0.400000","2.097"
"23.80","78.25","-0.000","3.97","29.61","60000.000894","0.000000000","8916.800133","0.000000","0","0","0.000000","0.308"
