"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-76.265","-0.005","42.573","-76.265","-0.005","42.573","-1"
"-18.745","-0.379","-116.357","-18.745","-0.379","-116.357","-1"
"-102.820","3.839","-71.782","-102.820","3.839","-71.782","-1"
"-51.943","-5.006","1.427","-51.943","-5.006","1.427","-1"
"-140.034","3.812","-88.036","-140.034","3.812","-88.036","-1"
"-364.637","-9.284","-113.896","-364.637","-9.284","-113.896","-1"
"-143.679","20.748","-237.644","-143.679","20.748","-237.644","-1"
"-20.088","-1.103","-135.457","-20.088","-1.103","-135.457","-1"
"-6.265","-2.577","59.052","-6.265","-2.577","59.052","-1"
"-61.704","-4.415","-54.871","-61.704","-4.415","-54.871","-1"
"-2.897","-19.817","-41.261","-2.897","-19.817","-41.261","-1"
"-11.212","0.970","28.258","-11.212","0.970","28.258","-1"
"-76.995","1.780","3.992","-76.995","1.780","3.992","-1"
"-103.207","-25.387","121.446","-103.207","-25.387","121.446","-1"
"-23.731","10.877","-73.485","-23.731","10.877","-73.485","-1"
"-34.238","38.124","83.478","-34.238","38.124","83.478","-1"
