"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.150","0.0000"
"2.300","2.317","1.000","-0.001","580.207","0.0000"
"3.400","3.417","1.000","0.000","590.430","0.0000"
"4.400","4.417","1.000","-113.643","581.259","0.0000"
"5.400","5.417","1.000","-22.309","590.589","0.0000"
"6.400","6.417","1.000","-75.969","578.529","0.0000"
"7.400","7.417","1.000","-37.729","557.954","0.0000"
"8.400","8.417","1.000","-224.740","573.647","0.0000"
"9.500","9.517","1.000","-147.516","655.452","0.0300"
"10.600","10.617","1.000","-57.246","641.282","0.0300"
"11.700","11.717","1.000","-149.817","636.645","0.0300"
"12.800","12.817","1.000","15.227","413.263","0.0300"
"13.900","13.917","1.000","-78.520","595.879","0.0300"
"15.000","15.017","1.000","-270.972","620.460","0.0300"
"16.100","16.117","1.000","-26.204","601.661","0.0300"
"17.200","17.217","1.000","-215.265","666.436","0.0300"
"18.300","18.317","1.000","-194.466","720.428","0.0300"
"19.400","19.417","0.000","-9.407","606.715","0.0000"
"20.500","20.517","1.000","-10.119","643.615","0.0300"
"21.600","21.617","1.000","-117.488","648.127","0.0300"
"22.700","22.717","1.000","-78.731","677.272","0.0300"
"23.800","23.817","1.000","-52.886","654.650","0.0300"
"24.900","24.917","1.000","-198.946","692.739","0.0300"
"26.000","26.017","1.000","-24.576","649.818","0.0000"
"27.100","27.117","1.000","-69.750","626.950","0.0000"
"28.200","28.217","1.000","-58.697","590.313","0.0000"
"29.300","29.317","1.000","-13.253","577.845","0.0000"
"30.400","30.417","1.000","-63.385","628.667","0.0000"
"31.500","31.517","1.000","-151.257","608.962","0.0000"
"32.600","32.617","1.000","-92.501","418.533","0.0000"
"33.700","33.717","1.000","-29.715","666.219","0.0000"
"34.800","34.817","1.000","-29.752","626.467","0.0000"
"35.900","35.917","1.000","-10.403","533.079","0.0000"
"37.000","37.017","1.000","-9.750","399.810","0.0000"
