"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","0.0000","1.5713","29.70","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.005","0.0074","0.0001","0.0000","0.0000","1.5799","28.05","0"
"BucketWheel","3.40","-14.00","-0.000","-0.000","-0.000","0.0022","0.0033","0.0000","0.0000","1.5767","26.40","0"
"BucketWheel","4.40","-14.00","-113.643","0.008","6.781","0.0067","0.0012","0.0000","0.0000","1.5788","24.90","0"
"BucketWheel","5.40","-14.00","-22.309","-0.001","13.808","0.0020","0.0014","0.0000","0.0000","1.5786","23.40","0"
"BucketWheel","6.40","-14.00","-75.969","0.026","-44.492","0.0479","0.0023","0.0005","-0.0005","1.5823","21.99","0"
"BucketWheel","7.40","-14.00","-37.729","0.036","-107.402","0.0042","0.0007","0.0005","-0.0005","1.5805","20.49","0"
"BucketWheel","8.40","-14.00","-224.740","-0.069","11.230","0.0072","0.0017","0.0005","-0.0005","1.5784","20.16","0"
"BucketWheel","9.50","-14.00","-147.516","-1.585","-136.155","0.0217","0.0073","0.0070","0.0070","1.5778","20.16","0"
"BucketWheel","10.60","-14.00","-57.246","0.285","-35.528","0.0268","0.0311","0.0310","0.0310","1.5784","19.86","0"
"BucketWheel","11.70","-14.00","-149.741","-0.528","-61.943","0.0306","0.0555","0.0553","0.0553","1.5754","19.71","0"
"BucketWheel","12.80","-14.00","15.228","-0.507","-51.357","0.0222","0.0798","0.0796","0.0796","1.5848","18.85","0"
"BucketWheel","13.90","-14.00","-78.487","-4.425","17.374","0.0282","0.1040","0.1039","0.1039","1.5766","19.67","0"
"BucketWheel","15.00","-14.00","-270.976","-1.263","-170.714","0.0145","0.1088","0.1087","0.1087","1.5764","20.33","0"
"BucketWheel","16.10","-14.00","-25.831","-5.296","-18.569","0.0246","0.1313","0.1313","0.1313","1.5790","18.68","0"
"BucketWheel","17.20","-14.00","-214.972","-9.678","-276.337","0.0324","0.1556","0.1556","0.1556","1.5811","18.66","0"
"BucketWheel","18.30","-14.00","-194.459","-0.046","-262.026","0.0291","0.1775","0.1774","0.1774","1.5762","18.74","0"
"BucketWheel","19.40","-14.00","-9.123","-4.865","-10.407","0.0633","0.0960","0.0960","0.0851","1.5819","22.70","0"
"BucketWheel","20.50","-14.00","-10.580","-0.238","10.825","0.0218","0.1073","0.1056","0.0950","1.5609","22.61","0"
"BucketWheel","21.60","-14.00","-117.839","5.987","-96.471","0.0221","0.1279","0.1279","0.1192","1.5763","20.96","0"
"BucketWheel","22.70","-14.00","-78.761","3.436","-65.333","0.0282","0.1510","0.1508","0.1435","1.5718","19.62","0"
"BucketWheel","23.80","-14.00","-52.756","5.428","-3.716","0.0235","0.1744","0.1741","0.1678","1.5887","18.07","0"
"BucketWheel","24.90","-14.00","-198.848","-6.864","-54.485","0.0221","0.1978","0.1977","0.1921","1.5864","17.57","0"
"BucketWheel","26.00","-14.00","-24.628","-7.436","-7.211","0.0018","0.2003","0.2002","0.1947","1.5846","17.92","0"
"BucketWheel","27.10","-14.00","-69.713","5.344","-51.815","0.0051","0.2003","0.2002","0.1947","1.5843","17.95","0"
"BucketWheel","28.20","-14.00","-58.690","1.030","-40.503","0.0174","0.2003","0.2002","0.1947","1.5851","17.87","0"
"BucketWheel","29.30","-14.00","-13.155","3.023","-12.287","0.0272","0.2015","0.2002","0.1947","1.6030","17.33","0"
"BucketWheel","30.40","-14.00","-60.594","12.665","-93.538","0.0004","0.2003","0.2002","0.1947","1.5858","15.75","0"
"BucketWheel","31.50","-14.00","-149.843","10.907","-28.380","0.0293","0.2004","0.2002","0.1947","1.5896","14.10","0"
"BucketWheel","32.60","-14.00","-92.717","14.813","9.417","0.0080","0.2003","0.2002","0.1947","1.5744","14.78","0"
"BucketWheel","33.70","-14.00","-29.823","9.518","8.489","0.0269","0.2003","0.2002","0.1947","1.5733","16.43","0"
"BucketWheel","34.80","-14.00","-29.004","2.129","-16.797","0.0148","0.2003","0.2002","0.1947","1.5867","15.23","0"
"BucketWheel","35.90","-14.00","-10.224","4.048","-2.012","0.0002","0.2002","0.2002","0.1947","1.5818","13.58","0"
"BucketWheel","37.00","-14.00","-9.758","10.028","0.867","0.0014","0.2003","0.2002","0.1947","1.5873","12.73","0"
