"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","4.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","18.800000","22.000000","3.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.600000","26.800000","6.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","26.800000","29.600000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","25.000000","31.200000","11.600000","2.400000","2.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","21.800000","33.000000","13.200000","2.400000","2.400000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","25.000000","38.000001","14.000000","3.400000","4.000000","0.000000","0.000000","0.400000","0.000000","0"
"12.80","22.800000","39.000001","14.400000","1.200000","4.000000","2.400000","0.000000","2.400000","0.400000","0"
"13.90","26.200000","43.400001","15.200000","0.800000","4.000000","2.400000","0.000000","2.400000","2.400000","0"
"15.00","22.400000","45.800001","16.200000","0.000000","4.000000","3.600000","0.000000","3.600000","2.800000","0"
"16.10","19.800000","45.800001","17.600000","0.400000","4.400000","3.600000","0.000000","3.600000","3.400000","0"
"17.20","27.200000","50.400001","23.000000","2.000000","6.000000","3.600000","0.000000","3.600000","3.600000","0"
"18.30","23.000000","50.400001","27.800000","3.800000","8.000000","3.600000","0.000000","3.600000","3.600000","0"
"19.40","8.000000","51.600001","28.200000","2.600000","8.200000","4.000000","0.000000","4.000000","3.600000","0"
"20.50","7.000000","51.600001","28.200000","2.200000","8.400000","5.200000","0.000000","5.400000","5.000000","0"
"21.60","13.000000","52.600001","28.200000","0.800000","8.400000","5.600000","0.000000","5.600000","5.400000","0"
"22.70","16.600000","53.000001","28.200000","0.000000","8.600000","7.400000","0.000000","7.400000","5.600000","0"
"23.80","13.400000","54.000001","29.400000","0.000000","8.600000","7.400000","0.000000","7.400000","7.400000","0"
"24.90","19.800000","55.000001","30.600000","0.400000","9.000000","7.400000","0.000000","7.400000","7.400000","0"
"26.00","20.200000","56.000001","32.000000","0.400000","9.000000","7.400000","0.000000","7.400000","7.400000","0"
"27.10","21.600000","56.200001","33.000000","0.400000","9.000000","7.400000","0.000000","7.400000","7.400000","0"
"28.20","18.600000","56.400001","33.600001","0.000000","9.000000","7.800000","0.000000","7.800000","7.800000","0"
"29.30","13.200000","56.400001","34.400001","0.000000","9.000000","7.800000","0.000000","7.800000","7.800000","0"
"30.40","16.600000","57.000001","34.400001","1.600000","11.000000","7.800000","0.000000","7.800000","7.800000","0"
"31.50","15.600000","57.800001","34.800001","1.800000","11.400000","7.800000","0.000000","7.800000","7.800000","0"
"32.60","23.200000","60.200001","35.200001","1.800000","11.400000","7.800000","0.000000","7.800000","7.800000","0"
"33.70","17.600000","60.600001","36.800001","0.600000","11.600000","9.000000","0.000000","9.000000","7.800000","0"
"34.80","13.200000","60.800001","37.000001","1.000000","12.400000","9.600000","0.000000","9.600000","9.600000","0"
"35.90","11.400000","61.000001","37.000001","1.000000","12.400000","9.600000","0.000000","9.600000","9.600000","0"
"37.00","16.400000","61.800001","37.000001","1.000000","12.600000","9.600000","0.000000","9.600000","9.600000","0"
