"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"3.40","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","79.69","0.300","0.00","28.76","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.98","0.300","0.00","5.54","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"6.40","77.07","0.300","0.00","20.30","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"7.40","77.92","0.300","0.00","26.10","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.015"
"8.40","77.15","0.300","0.00","52.27","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.022"
"9.50","77.05","0.291","8.43","50.78","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.571"
"10.60","77.95","0.277","15.78","31.05","60000.000894","0.000000000","7200.000107","0.000000","0","0","0.000000","0.325"
"11.70","78.15","0.275","54.64","51.83","60000.000894","0.000000000","7600.800113","0.000000","0","0","0.000000","1.010"
"12.80","79.09","0.292","10.16","17.50","60000.000894","0.000000000","7802.400116","2.400000","0","0","0.000000","0.942"
"13.90","77.49","0.294","7.29","37.44","60000.000894","0.000000000","8102.400121","2.400000","0","0","0.000000","0.301"
"15.00","77.41","0.287","2.50","73.41","60000.000894","0.000000000","8243.200123","3.600000","0","0","0.000000","1.402"
"16.10","78.72","0.292","4.22","6.44","60000.000894","0.000000000","8758.800131","3.600000","0","0","0.000000","0.000"
"17.20","75.53","0.287","12.36","150.38","60000.000894","0.000000000","8836.200132","3.600000","0","0","0.000000","1.006"
"18.30","74.79","0.264","33.54","113.85","60000.000894","0.000000000","9029.000135","3.600000","0","0","0.000000","1.000"
"19.40","79.31","0.265","32.54","3.79","60000.000894","0.000000000","8178.800122","4.000000","0","0","0.000000","0.517"
"20.50","79.71","0.243","51.17","2.00","60000.000894","0.000000000","8504.600127","5.200000","0","0","0.000000","0.012"
"21.60","78.41","0.277","24.33","47.58","60000.000894","0.000000000","8246.600123","5.600000","0","0","0.000000","1.658"
"22.70","77.86","0.244","8.18","30.45","60000.000894","0.000000000","8640.400129","7.400000","0","0","0.000000","0.292"
"23.80","79.14","0.291","6.12","14.49","60000.000894","0.000000000","9352.600139","7.400000","0","0","0.000000","0.227"
"24.90","77.51","0.269","27.42","59.54","60000.000894","0.000000000","9287.400138","7.400000","0","0","0.000000","1.000"
"26.00","76.86","0.279","14.77","24.21","60000.000894","0.000000000","9280.000138","7.400000","0","0","0.000000","0.359"
"27.10","77.24","0.279","21.49","46.84","60000.000894","0.000000000","9280.000138","7.400000","0","0","0.000000","1.057"
"28.20","77.38","0.275","47.55","32.41","60000.000894","0.000000000","9280.200138","7.800000","0","0","0.000000","1.238"
"29.30","78.62","0.255","33.10","10.85","60000.000894","0.000000000","9318.800139","7.800000","0","0","0.000000","1.252"
"30.40","78.47","0.244","38.17","31.52","60000.000894","0.000000000","9693.400144","7.800000","0","0","0.000000","0.000"
"31.50","77.78","0.254","39.45","43.42","60000.000894","0.000000000","10021.200149","7.800000","0","0","0.000000","1.472"
"32.60","77.76","0.277","15.71","29.77","60000.000894","0.000000000","9949.800148","7.800000","0","0","0.000000","0.101"
"33.70","77.97","0.286","12.79","20.73","60000.000894","0.000000000","9773.600146","9.000000","0","0","0.000000","0.617"
"34.80","79.14","0.267","37.77","17.93","60000.000894","0.000000000","9907.000148","9.600000","0","0","0.000000","1.001"
"35.90","79.58","0.281","19.58","2.63","60000.000894","0.000000000","10329.200154","9.600000","0","0","0.000000","1.234"
"37.00","79.14","0.233","66.06","2.62","60000.000894","0.000000000","10279.400153","9.600000","0","0","0.000000","0.791"
