"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7939","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7859","-0.0150"
"3.400","1","0.000","0","0.0000","1.7053","1.7662","-0.0150"
"4.400","1","0.021","0","0.0000","1.7053","1.7533","-0.0150"
"5.400","1","0.146","0","0.0000","1.7053","1.7381","-0.0150"
"6.400","1","0.350","0","0.0000","1.7053","1.7277","-0.0150"
"7.400","1","0.290","0","0.0000","1.7053","1.7110","-0.0150"
"8.400","1","0.162","0","0.0000","1.7053","1.7054","-0.0072"
"9.500","1","0.136","0","0.0075","1.7046","1.7046","0.0049"
"10.600","1","0.158","0","0.0315","1.7026","1.7020","0.0150"
"11.700","1","0.136","0","0.0558","1.7006","1.6984","0.0150"
"12.800","1","0.177","0","0.0801","1.6986","1.6986","0.0003"
"13.900","1","0.263","0","0.1044","1.6966","1.6975","-0.0150"
"15.000","1","0.182","0","0.1092","1.6962","1.7052","-0.0150"
"16.100","1","0.140","0","0.1317","1.6943","1.7060","-0.0150"
"17.200","1","0.281","0","0.1559","1.6923","1.6939","-0.0150"
"18.300","1","0.393","0","0.1777","1.6905","1.6886","0.0150"
"19.400","1","0.166","1","0.0853","1.6982","1.7537","0.0400"
"20.500","1","0.031","0","0.0939","1.6974","1.7420","-0.0150"
"21.600","1","0.117","0","0.1182","1.6954","1.7086","-0.0150"
"22.700","1","0.261","0","0.1425","1.6934","1.6925","0.0150"
"23.800","1","0.054","0","0.1672","1.6913","1.7184","-0.0150"
"24.900","1","0.281","0","0.1913","1.6893","1.6892","0.0071"
"26.000","1","0.254","0","0.1939","1.6891","1.6891","-0.0017"
"27.100","1","0.129","0","0.1939","1.6891","1.6890","0.0050"
"28.200","1","0.111","0","0.1939","1.6891","1.6888","0.0150"
"29.300","1","0.094","0","0.1940","1.6891","1.7063","-0.0150"
"30.400","1","0.148","0","0.1933","1.6892","1.6888","0.0150"
"31.500","1","0.284","0","0.1933","1.6892","1.6931","-0.0150"
"32.600","1","0.368","0","0.1924","1.6892","1.6786","0.0150"
"33.700","1","0.164","0","0.1924","1.6892","1.6864","0.0150"
"34.800","1","0.100","0","0.1929","1.6892","1.6959","-0.0150"
"35.900","1","0.101","0","0.1925","1.6892","1.6960","-0.0150"
"37.000","1","0.101","0","0.1929","1.6892","1.6890","0.0140"
