"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-76.257","-0.005","42.567","-76.257","-0.005","42.567","-1"
"-9.635","0.139","-112.617","-9.635","0.139","-112.617","-1"
"-160.428","0.548","10.975","-160.428","0.548","10.975","-1"
"-287.186","-8.933","-5.610","-287.186","-8.933","-5.610","-1"
"-130.284","-15.524","13.157","-130.284","-15.524","13.157","-1"
"-91.033","-4.768","1.869","-91.033","-4.768","1.869","-1"
"-220.611","0.298","85.083","-220.611","0.298","85.083","-1"
"-309.303","-6.335","218.875","-309.303","-6.335","218.875","-1"
"-69.731","-14.422","-134.731","-69.731","-14.422","-134.731","-1"
"-126.780","-45.081","-133.906","-126.780","-45.081","-133.906","-1"
"-313.991","-17.207","194.745","-313.991","-17.207","194.745","-1"
"-255.448","-46.323","128.545","-255.448","-46.323","128.545","-1"
"-155.014","-27.826","100.322","-155.014","-27.826","100.322","-1"
"-180.763","-25.597","183.569","-180.763","-25.597","183.569","-1"
"-147.616","-10.994","115.262","-147.616","-10.994","115.262","-1"
"-188.366","13.043","212.025","-188.366","13.043","212.025","-1"
